species,harem_size,male_weight,female_weight,male_length,female_length,IUCN_rating,Abundance,BreedingType,g2,CIlow,CIup,p_val,num_alleles_mean,num_alleles_mean.CIlow,num_alleles_mean.CIhigh,num_alleles_sd,num_alleles_sd.CIlow,num_alleles_sd.CIhigh,exp_het_mean,exp_het_mean.CIlow,exp_het_mean.CIhigh,exp_het_sd,exp_het_sd.CIlow,exp_het_sd.CIhigh,obs_het_mean,obs_het_mean.CIlow,obs_het_mean.CIhigh,obs_het_sd,obs_het_sd.CIlow,obs_het_sd.CIhigh,mean_allele_size_sd,mean_allele_size_sd.CIlow,mean_allele_size_sd.CIhigh,sd_allele_size_sd,sd_allele_size_sd.CIlow,sd_allele_size_sd.CIhigh,mean_allele_size_kurtosis,mean_allele_size_kurtosis.CIlow,mean_allele_size_kurtosis.CIhigh,sd_allele_size_kurtosis,sd_allele_size_kurtosis.CIlow,sd_allele_size_kurtosis.CIhigh,mean_allele_range,mean_allele_range.CIlow,mean_allele_range.CIhigh,sd_allele_range,sd_allele_range.CIlow,sd_allele_range.CIhigh,mratio_mean,mratio_mean.CIlow,mratio_mean.CIhigh,mratio_sd,mratio_sd.CIlow,mratio_sd.CIhigh,prop_low_afs_mean,prop_low_afs_mean.CIlow,prop_low_afs_mean.CIhigh,prop_low_afs_sd,prop_low_afs_sd.CIlow,prop_low_afs_sd.CIhigh,IAM_ratio,IAM_Wilc_Exc,TPM70_ratio,TPM70_Wilc_Exc,TPM80_ratio,TPM80_Wilc_Exc,TPM90_ratio,TPM90_Wilc_Exc,SMM_ratio,SMM_Wilc_Exc,nloc,nind
antarctic_fur_seal,10.3,155.00,38.20,185.90,128.75,least concern,5e6,land,0.0021572554220730122,-1.3209645188733406e-4,0.0034271908501183174,0.1,7.160285714285714,6.666666666666667,7.619047619047619,2.3589778589635975,1.9395630337539334,2.8091050160902826,0.8113066928452156,0.7850762658864716,0.8337549756744802,0.11590829047215574,0.08908822862335584,0.1505980676396816,0.8063511337868481,0.7535681216931216,0.8560978835978836,0.15452192270565715,0.10971323364412001,0.20503817012811254,3.2349562874297186,2.959410013366245,3.483425648948939,1.6744803652362745,1.3645195437370636,1.9586587700334603,3.1286363037571965,2.424114517981194,3.9833677444733215,2.077857055643692,0.8393327422596848,3.5976034657738745,10.907809523809524,9.857142857142858,11.952380952380953,5.71130665065574,4.587638598906005,6.668055844643523,0.6707653400898319,0.6123395399060625,0.7252745902379396,0.18876305573148017,0.15912637701961857,0.21966725291917685,0.26343609935038503,0.025396825396825397,0.36367750635607776,0.19378068338095214,0.08728715609439695,0.2438148103394536,1,0,0.9523809523809523,0,0.9047619047619048,0,0.9047619047619048,2e-5,0.5714285714285714,0.44587,21,246
subantarctic_fur_seal,6.5,152.5,49.8,NA,NA,least concern,4e5,land,5.744690346991543e-4,-0.0010343519355977353,0.0033567415171701477,0.6,6.367783783783784,5.837837837837838,6.945945945945946,2.8711186736364245,2.511212783861654,3.262818318420104,0.7235840526669474,0.6985067763473336,0.7494369004121326,0.2312956650612741,0.20638813477954449,0.25247571978180405,0.7092290218790219,0.6744744744744745,0.7465484234234234,0.2566338730717749,0.23300562971806732,0.28210684634465594,3.3904893319854037,3.051775368969209,3.7226634885543457,3.4025849570778863,2.484371871579493,4.256429877356379,3.882222571008233,3.1996553426808747,4.611204137817221,2.953935062470861,1.6215638252662934,4.152424460666913,12.50619693979694,11.305059523809524,13.667142857142856,12.089824367031177,9.53695057180738,13.621050251141888,0.6595968658010787,0.6148730243921969,0.7005965488706003,0.2506704075686226,0.21983002362169182,0.2784522885524938,0.2723333435796671,0.17642627455127455,0.3596988465738466,0.22418764062267127,0.19018589866142385,0.25551831363936767,0.8378378378378378,2e-5,0.6486486486486487,0.19296,0.5675675675675675,0.52377,0.3783783783783784,0.96258,0.16216216216216217,1,10,303
galapagos_fur_seal,5.9,64.50,27.40,151.25,120.00,endangered,7e3,land,-0.0014816627823857065,-0.00849211942879952,0.006561116287626956,0.8,5.3445,4.833333333333333,5.833333333333333,2.0843277265000455,1.5447859516333116,2.678477631835372,0.6676374737434335,0.6182931286549708,0.7140570175438596,0.20472981557518827,0.15781913565873865,0.2568114951465413,0.6837090277777778,0.610162037037037,0.75,0.23400822280354494,0.16695820391936042,0.296900687635981,1.8034380597305484,1.5467505197331648,2.0771404295034688,1.041476558936051,0.7562731098599386,1.4084960049585318,3.890560559236023,2.83488594776371,5.336168230112223,2.5984009747832504,1.0166269758071314,4.9621905442989105,6.310481060606061,5.125,7.5,3.9611992460720225,2.189420152931046,6.238235126159623,0.8020931519892722,0.7197827621545695,0.8805756770910118,0.2056230186207179,0.1555767250760906,0.25451694167458144,0.24063510124135123,0.1314880952380953,0.34981105699855697,0.19691698531662946,0.13588639454110624,0.2603455889706992,0.8333333333333334,0.00232,0.5,0.21191,0.5,0.3667,0.5,0.60449,0.4166666666666667,0.9353,10,433
stellers_sea_lion,11.8,1000.00,287.55,300.00,240.15,near threatened,78e3,land,0.002470849554335297,-4.8607282962700153e-4,0.008252580073618395,0.3,4.659153846153846,4.230769230769231,5.076923076923077,1.5831317615659604,1.1875421719907089,1.9839096340048947,0.6620146800825594,0.6194005186420047,0.7024388081818421,0.1776779996202231,0.1247599638549792,0.2313662516754178,0.6604876068376069,0.5845726495726495,0.7384615384615385,0.20994900900599112,0.1475982896670705,0.27313860803397594,1.652475068050873,1.4927349266099095,1.8453206480870552,0.8853400906180284,0.7524241333990007,1.1060931875731697,3.1681454431765084,2.2732639348407195,4.324091205874825,2.42156887786788,0.8709080061295447,4.859624316520495,5.094352564102564,4.384615384615385,5.846153846153846,2.41397012661166,1.6132464481796025,3.204564052914338,0.8141826940509633,0.748572367803137,0.8791491147741147,0.2060037017673268,0.16849638959442434,0.24417837127451092,0.20488843101343102,0.10511446886446889,0.29811126373626373,0.1896721481667716,0.13375816326155204,0.24817832575918852,0.9230769230769231,6.1e-4,0.7692307692307693,0.04016,0.6153846153846154,0.12195,0.6153846153846154,0.44629,0.3076923076923077,0.98669,5,183
grey_seal_orkneys,5,233.00,155.00,216.35,180.00,least concern,147e3,both,0.001333628451646085,-0.002288487244754847,0.004354915273815186,0.4,5.36,4.777777777777778,6,1.3407172100363303,0.7264831572567789,1.9364916731037085,0.7373820421446841,0.6903060381072507,0.7784808460421205,0.10179507339317982,0.057261970224319274,0.16199901974058287,0.717410582010582,0.6283796296296297,0.8031018518518519,0.16127244084891068,0.08850051931548601,0.23519131981572905,2.121577975825273,1.8273245101623083,2.397973763047849,1.026279446515724,0.6637747647987922,1.4168236568334314,3.595818689434653,2.573631046713365,4.889525154934582,2.104132363404575,0.7156167567965943,4.073325439324697,7.206,6,8.002777777777775,3.1484812096032235,1.855356751253091,4.034830667825079,0.7193456289081289,0.6410131072631072,0.8010675204425204,0.23049551908088062,0.17212318027548235,0.2779452167990276,0.16820426086259418,0.037037037037037035,0.3172156084656084,0.18375758828702926,0.09521211854572803,0.25710731269902243,1,9.8e-4,0.8888888888888888,0.00293,0.8888888888888888,0.00977,0.7777777777777778,0.10156,0.4444444444444444,0.91797,17,21
harbour_seal_waddensee,1,80.00,66.00,145.00,137.50,least concern,425e3,both,-0.009394650091466561,-0.013243161423941087,-0.001346349565610267,1,3.1702,2.8666666666666667,3.466666666666667,1.097957425807544,0.7988086367179802,1.424279266355945,0.48027303061575505,0.43190350877192984,0.5228245614035087,0.18031165482064718,0.13709397403012893,0.2191849606952843,0.47193555555555555,0.4,0.54,0.21469971238206617,0.1594633858557237,0.2695675549220764,0.933034076553379,0.8079131763815864,1.0524245494167084,0.4474322040292274,0.3576126883738321,0.5431105747322923,4.4906625546003545,3.0158001833373653,6.050552265512525,3.9481019939849022,1.6826899512865174,5.804507818347929,3.0350432234432234,2.533333333333333,3.533333333333333,1.478127601143726,1.0327955589886444,1.8823111013577412,0.8321774699110414,0.7768253968253969,0.8933426870748299,0.19666539231944058,0.15965818081058042,0.23170491707714191,0.2008063492063492,0.10663888888888891,0.29555555555555557,0.21066813009145613,0.15627237976604752,0.2613978292369015,0.8,0.01767,0.4,0.7193,0.3333333333333333,0.91559,0.2,0.98233,0.06666666666666667,0.9995,13,65
galapagos_sea_lion,13.5,200.00,78.00,NA,NA,endangered,9900,land,-1.267359219306874e-4,-0.0023559396488793656,0.001245352565575608,0.8,4.7164090909090906,4.318181818181818,5.090909090909091,1.897918671980641,1.4651985208426521,2.3600090267403484,0.6245587574663038,0.5894677033492823,0.6586124401913875,0.19605060776293845,0.15680247649600634,0.2367792020941602,0.6239454545454546,0.5666287878787879,0.6772727272727272,0.22779424323087183,0.17653468861945568,0.2746850833876735,1.6576931756519402,1.5132018263881621,1.8094633299593808,1.4946222425298425,1.2885762349377579,1.7151544358460762,3.7562110831675657,2.9411917398409093,4.825344755541994,2.7894698205555355,1.328034124743784,4.701914022925655,5.454638528138529,4.862500000000001,6.318560606060606,4.18476580509433,3.379552342535248,5.892499901742936,0.8394530448346318,0.788442069294342,0.8820771085366146,0.20695097105870155,0.17449248825242297,0.23915468403053264,0.26878279435211255,0.1965577036599765,0.342343647514102,0.2014565654458419,0.15405794556547292,0.24467351794383782,0.8181818181818182,2e-5,0.5454545454545454,0.53802,0.45454545454545453,0.85489,0.2727272727272727,0.99584,0.09090909090909091,1,13,347
south_american_fur_seal,6,159.00,48.50,189.25,141.25,least concern,275e3,land,0.019028900300682716,-0.0023027301565377214,0.06780208454380916,0.2,5.480142857142857,4.857142857142857,6,1.181375970149299,0.5345224838248488,1.8129811324499467,0.768525977936261,0.7039488503351286,0.8152485152753286,0.08462492800584921,0.03459281666817017,0.16262713968748357,0.7629537414965987,0.6462429138321996,0.8650850340136054,0.1549653174104501,0.07383704918621406,0.2482494572169787,1.9846495432974491,1.7149454382396052,2.3014393991097495,0.7764778946446247,0.551845155336068,1.0276706626355803,2.664146516202715,1.9767311684317914,4.085063354758686,1.1693375150194798,0.3971325538241421,3.816434529129133,6.327714285714285,5.428571428571429,7.714285714285714,2.4606074779524474,1.5114621068131413,3.251373336211726,0.7898244465851608,0.6875386518243661,0.8664566584209441,0.1776185154973269,0.12503836620587283,0.2317750964198444,0.07360243764172335,0,0.1910416666666666,0.1264871282504543,0,0.25042374372667675,1,0.00391,1,0.00391,1,0.00391,0.5714285714285714,0.05469,0.2857142857142857,0.96094,7,303
hooded_seal,1,343.18,222.50,260.00,206.00,vulnerable,662e3,ice,-0.0013748283758170388,-0.0030731984018447455,0.001230327446698282,1,6.464846153846154,5.846153846153846,7.3076923076923075,2.373872065505195,1.8009078047926237,2.9873662620315495,0.7325939488107087,0.6875921515704797,0.774890714720436,0.1740878543380563,0.121890573013866,0.23280460608235204,0.7211585775335775,0.6538461538461539,0.7906196581196581,0.20126909660854336,0.1419278406124674,0.26578982176268406,2.466142518486331,2.215546879281545,2.738601077655312,1.0777240957187748,0.8705423918823894,1.2863662226985155,3.212495663652659,2.491769560686338,4.315161413185129,1.7187715918935054,0.853880705753763,4.3194482552611095,8.252416666666667,7.230769230769231,9.461538461538462,3.4368659430938195,2.6406579893647737,4.265244153891743,0.7329453931375312,0.6688410765956014,0.7978345799499645,0.18699352618536755,0.1297224381852616,0.23002831510351363,0.3430927134830981,0.2433114801864802,0.4428296703296702,0.19160693966059997,0.11970077617241909,0.25889768677610825,0.8461538461538461,0.03406,0.38461538461538464,0.81213,0.3076923076923077,0.9364,0.3076923076923077,0.98669,0.07692307692307693,0.99988,12,90
mediterranean_monk_seal,1,260.00,301.00,254.75,364.60,endangered,400,land,0.0741802238277609,0.016613563446207947,0.11537735631172376,0.1,2.2209375,2,2.4375,0.682445824659404,0.47871355387816905,0.9287647949303586,0.38523501230988655,0.31597940726713947,0.44579360594417194,0.22142590699781475,0.16702436038698615,0.27265411872602585,0.3442495571145125,0.25406506873582774,0.43116753472222225,0.2545179188699134,0.1819505329631433,0.3324658837408146,1.229788798357127,0.953006846473327,1.4861227516220636,1.0796719047256413,0.7737946795791162,1.309795517744803,4.099565672607536,2.613465433558166,5.8567004130353935,4.00393187195417,1.8004256262662806,5.942624754452905,3.540261355311355,2.8666666666666667,4.266666666666667,2.6310978975636545,2.0820948688527428,3.2502465389724766,0.6539077595325614,0.5846795863272846,0.7261904761904762,0.27119875331429766,0.23794779675405603,0.3067379407289922,0.0041875,0,0.041666666666666664,0.014993732834609672,0,0.1455354099714415,0.625,0.01932,0.5625,0.18773,0.5625,0.28094,0.5625,0.39098,0.5625,0.56987,22,781
