id IAM_ratio IAM_Wilc_Exc TPM70_ratio TPM70_Wilc_Exc TPM80_ratio TPM80_Wilc_Exc TPM90_ratio TPM90_Wilc_Exc SMM_ratio SMM_Wilc_Exc
antarctic_fur_seal 1 0 0.9523809523809523 0 0.9047619047619048 0 0.9047619047619048 2e-5 0.6190476190476191 0.43244
arctic_ringed_seal 0.8 0.06543 0.4 0.8125 0.3 0.94727 0.2 0.99658 0 1
atlantic_walrus 0.8333333333333334 0.02344 0.6666666666666666 0.28125 0.6666666666666666 0.34375 0.5 0.57813 0.16666666666666666 0.98438
australian_fur_seal 0.8 0.10938 0.4 0.89063 0.2 0.95313 0.2 0.96875 0 1
baltic_ringed_seal 0.8125 0.00655 0.375 0.79813 0.375 0.87389 0.3125 0.95837 0.1875 0.99895
bearded_seal 0.9 9.8e-4 0.4 0.42285 0.4 0.5 0.4 0.88379 0.3 0.99316
california_sea_lion 0.9166666666666666 2.4e-4 0.6666666666666666 0.10181 0.6666666666666666 0.31104 0.5833333333333334 0.6333 0.25 0.99329
crabeater_seal 1 0.00391 0.7142857142857143 0.02734 0.7142857142857143 0.1875 0.5714285714285714 0.46875 0.14285714285714285 0.98828
galapagos_fur_seal 0.8333333333333334 0.00232 0.5 0.19019 0.5 0.3667 0.5 0.60449 0.4166666666666667 0.9353
galapagos_sea_lion 0.8181818181818182 2e-5 0.5909090909090909 0.52537 0.45454545454545453 0.85489 0.2727272727272727 0.99668 0.09090909090909091 1
grey_seal_orkneys 1 0.00195 0.875 0.00586 0.75 0.01953 0.75 0.125 0.5 0.84375
guadalupe_fur_seal 1 2e-5 1 2e-5 0.9333333333333333 3e-5 0.9333333333333333 8e-5 0.6 0.12619
harbour_seal_waddensee 0.8333333333333334 0.00671 0.5833333333333334 0.48486 0.3333333333333333 0.91187 0.16666666666666666 0.98291 0.08333333333333333 0.99976
hawaiian_monk_seal 0.9411764705882353 4e-5 0.8235294117647058 0.00395 0.7058823529411765 0.01334 0.7058823529411765 0.09505 0.4117647058823529 0.69439
hooded_seal 0.8461538461538461 0.03406 0.38461538461538464 0.81213 0.3076923076923077 0.9364 0.3076923076923077 0.98669 0.07692307692307693 0.99988
lagoda_ringed_seal 0.625 0.07193 0.5 0.83875 0.5 0.8844 0.375 0.95837 0.1875 0.99619
leopard_seal 0.75 0.03198 0.3333333333333333 0.89819 0.3333333333333333 0.9353 0.25 0.99329 0.16666666666666666 0.99963
mediterranean_monk_seal 0.6428571428571429 0.01764 0.5714285714285714 0.13379 0.5714285714285714 0.17877 0.5714285714285714 0.27081 0.5714285714285714 0.4516
nes 0.90625 0 0.875 0 0.875 0 0.875 0 0.84375 5e-5
new_zealand_fur_seal 0.7272727272727273 0.00342 0.7272727272727273 0.25977 0.7272727272727273 0.25977 0.6363636363636364 0.44922 0.45454545454545453 0.89697
new_zealand_sea_lion 1 2e-5 0.8 5e-4 0.8 0.01279 0.5333333333333333 0.2106 0.4 0.93231
northern_fur_seal 0.875 0.09766 0.75 0.23047 0.75 0.37109 0.5 0.52734 0.125 0.99609
ross_seal 0.7777777777777778 0.08203 0.3333333333333333 0.75195 0.3333333333333333 0.82031 0.2222222222222222 0.98145 0.1111111111111111 0.99902
saimaa_ringed_seal 0.6 0.0365 0.5333333333333333 0.40198 0.5333333333333333 0.48898 0.4666666666666667 0.55481 0.4666666666666667 0.68066
ses 0.9230769230769231 1.2e-4 0.9230769230769231 0.01074 0.9230769230769231 0.01074 0.8461538461538461 0.01331 0.38461538461538464 0.77258
south_american_fur_seal 1 0.01563 0.8 0.04688 0.8 0.07813 0.6 0.5 0.2 0.98438
south_american_sea_lion 0.9545454545454546 2e-5 0.7727272727272727 0.00184 0.6818181818181818 0.04587 0.4090909090909091 0.73824 0.18181818181818182 0.99985
stellers_sea_lion 0.9230769230769231 0.00116 0.6923076923076923 0.05493 0.6153846153846154 0.1698 0.5384615384615384 0.5 0.3076923076923077 0.98669
subantarctic_fur_seal 0.8529411764705882 0 0.6470588235294118 0.13512 0.5882352941176471 0.47982 0.4411764705882353 0.86857 0.20588235294117646 0.99999
weddell_seal 0.8333333333333334 0.03857 0.4166666666666667 0.80981 0.4166666666666667 0.89819 0.3333333333333333 0.97876 0.08333333333333333 0.99988
