"bot_iceage" "bottleneck" "neut_iceage" "neutral"
"antarctic_fur_seal" 0.19 0.571 0.1 0.139
"guadalupe_fur_seal" 0.314 0.597 0.058 0.032
"subantarctic_fur_seal" 0.055 0.123 0.119 0.703
"galapagos_fur_seal" 0.298 0.243 0.204 0.254
"stellers_sea_lion" 0.396 0.139 0.24 0.225
"grey_seal_orkneys" 0.305 0.335 0.162 0.198
"harbour_seal_waddensee" 0.584 0.097 0.21 0.109
"galapagos_sea_lion" 0.197 0.046 0.588 0.168
"south_american_fur_seal" 0.275 0.334 0.154 0.238
"hooded_seal" 0.042 0.03 0.7 0.228
"mediterranean_monk_seal" 0.393 0.606 0.002 0
"hawaiian_monk_seal" 0.408 0.59 0.002 0
"bearded_seal" 0.081 0.007 0.827 0.085
"crabeater_seal" 0.013 0.044 0.219 0.724
"leopard_seal" 0.027 0.034 0.533 0.405
"arctic_ringed_seal" 0.007 0.001 0.122 0.87
"ross_seal" 0.001 0 0.992 0.007
"weddell_seal" 0.077 0.079 0.452 0.392
"northern_fur_seal" 0.021 0.049 0.181 0.748
"atlantic_walrus" 0.515 0.1 0.223 0.162
"nes" 0.624 0.355 0.019 0.003
"ses" 0.217 0.219 0.221 0.343
"california_sea_lion" 0.296 0.276 0.181 0.246
"south_american_sea_lion" 0.309 0.186 0.242 0.263
"new_zealand_sea_lion" 0.345 0.161 0.232 0.262
"saimaa_ringed_seal" 0.278 0.721 0.001 0
"lagoda_ringed_seal" 0.295 0.362 0.153 0.19
"baltic_ringed_seal" 0.164 0.232 0.222 0.382
"new_zealand_fur_seal" 0.043 0.059 0.354 0.545
"australian_fur_seal" 0.293 0.138 0.336 0.233
