"bot_iceage" "bottleneck" "neut_iceage" "neutral"
"antarctic_fur_seal" 0.364 0.482 0.041 0.113
"guadalupe_fur_seal" 0.499 0.469 0.006 0.026
"subantarctic_fur_seal" 0.103 0.148 0.34 0.409
"galapagos_fur_seal" 0.401 0.216 0.16 0.224
"stellers_sea_lion" 0.398 0.136 0.243 0.223
"grey_seal_orkneys" 0.438 0.274 0.12 0.168
"harbour_seal_waddensee" 0.438 0.132 0.282 0.148
"galapagos_sea_lion" 0.166 0.045 0.63 0.159
"south_american_fur_seal" 0.441 0.266 0.105 0.188
"hooded_seal" 0.063 0.026 0.739 0.172
"mediterranean_monk_seal" 0.541 0.459 0 0
"hawaiian_monk_seal" 0.554 0.446 0 0
"bearded_seal" 0.073 0.009 0.81 0.107
"crabeater_seal" 0.026 0.033 0.464 0.477
"leopard_seal" 0.067 0.034 0.662 0.238
"arctic_ringed_seal" 0 0 0.455 0.545
"ross_seal" 0.002 0 0.985 0.014
"weddell_seal" 0.122 0.068 0.537 0.273
"northern_fur_seal" 0.034 0.069 0.449 0.448
"atlantic_walrus" 0.431 0.125 0.248 0.196
"nes" 0.642 0.352 0.002 0.003
"ses" 0.327 0.175 0.222 0.276
"california_sea_lion" 0.405 0.231 0.163 0.201
"south_american_sea_lion" 0.364 0.17 0.239 0.227
"new_zealand_sea_lion" 0.385 0.15 0.226 0.239
"saimaa_ringed_seal" 0.448 0.552 0 0
"lagoda_ringed_seal" 0.446 0.318 0.08 0.156
"baltic_ringed_seal" 0.266 0.177 0.26 0.297
"new_zealand_fur_seal" 0.068 0.042 0.564 0.326
"australian_fur_seal" 0.297 0.126 0.352 0.225
