id pop L_Hg42 L_Hg61 L_Hg63 L_Hg81 L_Hg89 L_Hgdii L_Hl16 L_Hl20 L_Hl8 L_Lw7 L_Pv9 L_Pvc26 L_Pvc78
1215 Davis_Strait 135/135 216/222 168/164 186/192 133/133 133/133 108/110 104/116 156/156 162/168 108/108 132/134 135/135
1216 Davis_Strait 135/135 224/224 170/186 186/186 133/135 135/137 108/112 102/104 156/156 162/168 108/108 132/146 135/135
1217 Davis_Strait 135/135 222/226 170/192 200/202 133/133 133/135 108/112 112/116 156/172 168/168 108/110 132/132 135/135
1218 Davis_Strait 135/147 220/220 186/196 190/202 133/145 133/135 102/104 102/104 156/174 162/162 108/110 144/146 135/147
1219 Davis_Strait 135/135 230/232 168/164 194/200 135/135 131/135 102/112 106/106 156/168 168/168 108/112 132/132 135/135
1220 Davis_Strait 135/135 230/230 170/188 192/196 131/137 135/135 106/108 104/104 156/160 160/168 108/110 136/146 135/135
1221 Davis_Strait 135/135 224/236 170/186 190/190 145/145 135/135 106/108 102/106 156/158 162/168 108/108 132/132 135/135
1222 Davis_Strait 135/135 224/232 170/186 186/202 141/145 133/135 106/112 102/102 156/170 168/168 108/110 132/144 135/135
1223 Davis_Strait 135/147 222/224 172/178 188/200 133/141 131/133 108/116 106/114 156/156 170/172 110/110 122/122 135/147
1224 Davis_Strait 135/147 224/238 164/174 190/200 135/135 133/133 106/108 106/106 168/174 162/164 108/108 132/136 135/147
1225 Davis_Strait 135/135 222/228 176/188 186/192 135/135 133/135 NA 104/110 158/172 168/168 108/108 132/148 135/135
1226 Davis_Strait 135/147 218/236 176/178 188/200 121/133 135/135 106/112 102/120 156/156 166/168 108/108 134/152 135/147
1227 Davis_Strait 135/155 222/232 176/188 186/200 121/133 131/133 98/116 98/106 156/172 168/168 108/108 122/132 135/155
1228 Davis_Strait 135/137 220/230 180/190 192/204 131/145 133/135 108/108 102/112 160/160 168/168 110/112 132/148 135/137
1229 Davis_Strait 135/135 216/224 168/176 198/200 135/135 129/135 108/110 104/112 156/156 168/168 108/110 132/134 135/135
1230 Davis_Strait 135/135 224/224 178/188 186/186 135/137 133/133 108/122 104/110 160/174 160/162 108/108 132/134 135/135
1231 Davis_Strait 135/135 222/222 164/188 196/202 135/139 135/135 106/114 106/112 156/160 160/164 108/108 146/148 135/135
1232 Davis_Strait 135/135 222/226 170/188 188/200 133/143 133/141 104/104 104/106 160/168 162/166 108/108 132/132 135/135
1233 Davis_Strait 135/135 222/228 164/174 188/206 135/137 133/135 108/108 100/106 156/156 162/170 108/110 136/142 135/135
1234 Davis_Strait 135/137 220/222 170/162 204/206 131/143 133/135 106/108 102/104 156/160 162/162 108/108 132/134 135/137
1235 Davis_Strait 135/147 222/222 164/188 192/204 135/145 133/135 106/112 106/110 156/168 162/168 108/108 132/132 135/147
1236 Davis_Strait 135/147 224/230 170/172 188/204 133/133 135/135 100/108 106/108 160/168 166/168 108/108 132/136 135/147
1237 Davis_Strait 135/135 220/228 170/186 202/202 135/141 135/135 104/108 104/110 156/168 166/168 108/108 132/144 135/135
1238 Davis_Strait 135/135 224/230 168/186 186/204 133/143 133/135 104/110 106/106 158/168 168/172 108/110 146/150 135/135
1239 Davis_Strait 147/147 224/230 164/172 192/206 133/141 135/135 102/106 102/106 156/156 162/168 108/114 132/132 147/147
1240 Davis_Strait 135/147 224/232 168/170 188/198 131/135 133/135 108/112 106/108 158/174 162/168 108/112 144/148 135/147
1241 Davis_Strait 135/147 224/236 164/186 188/196 133/135 137/137 106/108 104/114 156/162 168/168 108/110 132/136 135/147
1242 Davis_Strait 135/135 220/226 170/180 186/188 135/139 135/135 102/108 106/106 156/156 162/168 108/110 146/152 135/135
1243 Davis_Strait 135/135 222/224 170/182 198/200 133/135 133/135 106/110 104/112 156/160 172/172 108/108 132/148 135/135
1244 Davis_Strait 135/147 222/230 172/194 188/198 131/135 133/137 106/108 110/110 156/176 160/168 108/108 132/134 135/147
1245 Davis_Strait 135/147 224/224 168/188 188/202 133/141 131/133 106/112 102/102 156/156 168/168 108/108 132/134 135/147
1246 Davis_Strait 135/135 230/232 166/172 200/204 141/141 133/135 102/112 104/106 156/158 162/162 108/110 132/148 135/135
1247 Davis_Strait 135/135 218/222 168/170 192/194 137/137 139/139 108/122 102/106 156/156 168/168 110/114 132/148 135/135
1248 Davis_Strait 135/135 220/222 164/176 186/198 137/143 135/135 104/112 102/110 156/158 168/170 108/108 122/132 135/135
