id pop L_Hg14 L_Hg23 L_Hg36 L_Hg42 L_Hg610 L_Hg89 L_Hg810 L_Hgdii L_Hgl15 L_Pvc19 L_Pvc26 L_Pvc30 L_Pvc78 L_SGPv9 L_SGPv10 L_SGPv11 L_SGPv16
L1501 Lake_Lagoda 114/124 108/108 132/142 160/173 188/204 186/188 200/222 141/153 110/118 107/107 187/187 139/141 161/161 135/141 154/154 117/117 114/124
L1683 Lake_Lagoda 120/120 98/100 134/157 158/171 190/204 184/186 220/220 129/129 118/120 105/107 177/185 139/139 161/161 145/151 156/156 123/133 120/120
L1684 Lake_Lagoda 114/120 108/108 134/134 146/152 188/196 186/186 208/218 129/155 110/118 105/107 185/185 139/139 161/161 141/153 156/174 117/119 114/120
L1_94 Lake_Lagoda 114/114 108/108 134/156 152/152 190/204 188/190 218/222 161/163 110/116 105/105 179/189 141/149 161/165 139/141 154/177 117/119 114/114
L2195 Lake_Lagoda 116/122 100/108 134/154 150/164 190/194 186/186 218/220 157/157 110/118 105/109 171/185 139/149 161/161 135/141 154/156 117/119 116/122
L2202 Lake_Lagoda 124/124 108/108 140/156 146/178 194/198 186/186 218/222 151/153 114/120 107/107 185/185 139/139 161/161 143/151 156/177 119/125 124/124
L2308 Lake_Lagoda 124/126 104/104 150/156 152/152 194/204 186/186 218/220 153/161 110/118 105/107 171/185 137/149 161/161 145/153 154/156 117/123 124/126
L2_94 Lake_Lagoda 114/114 100/106 134/142 150/152 188/190 186/190 200/214 129/155 110/118 105/107 171/173 139/149 161/169 135/139 154/154 117/119 114/114
L3_94 Lake_Lagoda 116/124 102/108 134/156 150/173 188/194 186/186 200/208 147/151 118/120 105/107 167/173 137/139 161/161 143/149 156/158 117/117 116/124
LI_92 Lake_Lagoda 124/124 108/108 134/150 156/180 190/192 186/188 200/220 143/153 116/118 105/107 171/185 139/143 161/171 139/157 152/156 117/133 124/124
LM12 Lake_Lagoda 124/124 96/96 154/156 150/152 196/200 186/188 200/200 157/171 110/118 105/105 179/185 137/149 161/161 139/141 152/154 117/121 124/124
LM13 Lake_Lagoda 120/132 108/108 156/156 152/173 190/202 186/188 208/218 155/163 118/118 105/105 179/185 141/147 161/161 147/147 154/154 117/121 120/132
LM14 Lake_Lagoda 124/124 98/100 132/134 152/152 188/194 186/186 200/222 145/169 118/118 105/107 177/185 139/139 161/161 139/141 156/156 117/133 124/124
LM15 Lake_Lagoda 120/126 96/108 134/156 164/178 190/194 186/188 222/222 129/155 118/118 103/105 171/179 139/149 161/167 141/145 154/169 123/133 120/126
LM16 Lake_Lagoda 110/114 108/108 132/134 152/160 200/208 188/188 200/200 159/167 106/118 105/107 171/171 139/141 161/161 141/153 156/156 117/119 110/114
LM17 Lake_Lagoda 122/124 102/102 148/156 152/158 194/198 186/188 200/218 147/159 112/118 107/109 187/189 139/149 161/161 141/141 154/158 123/133 122/124
