id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
BER_001 Bering_Island 382/382 162/174 99/103 138/160 187/201 230/238 160/160 382/382
BER_002 Bering_Island 382/382 174/174 91/99 160/168 189/193 238/240 160/160 382/382
BER_003 Bering_Island 380/394 168/176 113/115 160/164 185/189 234/240 160/160 380/394
BER_004 Bering_Island 380/382 160/168 103/115 160/162 NA 234/236 160/160 380/382
BER_005 Bering_Island 384/388 166/168 99/99 158/158 191/193 228/236 160/160 384/388
BER_006 Bering_Island 380/394 NA 87/115 142/164 185/185 228/238 160/176 380/394
BER_007 Bering_Island 380/380 158/182 105/119 162/168 191/191 234/234 160/160 380/380
BER_008 Bering_Island 380/392 168/170 107/113 134/140 189/191 234/238 160/160 380/392
BER_009 Bering_Island 380/386 152/162 85/95 156/162 NA NA NA 380/386
BER_011 Bering_Island 380/390 168/168 113/115 142/160 197/205 234/240 160/160 380/390
BER_013 Bering_Island 380/398 168/176 97/99 140/160 187/189 232/236 160/176 380/398
BER_014 Bering_Island 380/386 172/174 99/103 156/168 185/189 238/240 160/160 380/386
BER_015 Bering_Island 394/394 168/180 93/103 142/160 185/195 234/250 160/160 394/394
BER_016 Bering_Island 380/380 174/176 103/115 160/160 189/193 234/242 184/184 380/380
BER_017 Bering_Island 380/386 160/162 103/117 158/168 189/193 240/254 160/160 380/386
BER_018 Bering_Island NA NA NA NA NA NA NA NA
BER_019 Bering_Island 382/392 168/172 91/117 NA NA 230/234 NA 382/392
BER_021 Bering_Island 380/394 162/174 103/121 156/162 185/199 238/238 160/184 380/394
BER_022 Bering_Island 380/392 162/168 99/117 158/160 191/193 230/234 160/160 380/392
BER_023 Bering_Island 382/392 170/178 97/115 158/162 191/193 236/240 160/160 382/392
BER_024 Bering_Island 386/394 168/170 87/91 156/160 185/193 230/236 160/160 386/394
BER_025 Bering_Island 382/387 174/174 99/103 158/158 NA NA 160/172 382/387
BER_026 Bering_Island 394/396 172/178 99/99 142/156 187/193 232/236 160/176 394/396
BER_027 Bering_Island 386/395 172/178 101/105 162/166 187/197 228/234 160/160 386/395
BER_028 Bering_Island 382/382 166/176 103/115 158/164 195/207 234/238 160/160 382/382
BER_029 Bering_Island 380/390 160/172 99/115 156/160 185/189 228/240 160/160 380/390
BER_030 Bering_Island 386/386 168/174 85/97 140/142 195/205 230/234 160/160 386/386
BER_031 Bering_Island 380/380 172/174 89/101 142/160 187/201 230/236 160/160 380/380
BER_032 Bering_Island 386/394 164/176 99/115 158/162 185/189 234/240 160/160 386/394
BER_033 Bering_Island 386/394 168/180 115/127 152/158 189/195 234/234 156/160 386/394
BER_034 Bering_Island 382/384 160/172 97/99 140/142 185/189 236/240 160/160 382/384
BER_035 Bering_Island 386/394 178/182 87/93 158/164 179/185 228/240 160/162 386/394
BER_036 Bering_Island 382/394 162/178 117/123 158/160 187/199 236/240 NA 382/394
BER_037 Bering_Island NA NA NA 156/170 187/193 228/230 NA NA
BER_038 Bering_Island NA NA 99/113 160/164 189/193 NA 160/160 NA
BER_039 Bering_Island 378/380 170/170 107/123 134/142 185/193 238/250 160/160 378/380
BER_040 Bering_Island 380/380 170/182 99/117 156/158 195/197 228/228 160/160 380/380
BER_041 Bering_Island 382/392 178/188 97/127 142/160 185/195 234/250 160/160 382/392
BER_042 Bering_Island 380/380 160/172 91/103 160/162 185/191 232/236 156/160 380/380
BER_043 Bering_Island 382/382 164/174 99/103 140/162 185/197 230/236 160/160 382/382
BER_044 Bering_Island 380/394 178/180 91/113 160/172 189/189 230/234 160/176 380/394
BER_045 Bering_Island 382/394 162/170 95/99 142/154 193/193 234/240 160/160 382/394
BER_046 Bering_Island 378/378 162/172 99/99 160/160 191/199 230/240 160/160 378/378
BER_047 Bering_Island 380/382 162/176 95/99 142/142 187/193 232/234 160/174 380/382
BER_048 Bering_Island 380/380 166/174 115/117 158/158 189/195 232/234 160/160 380/380
BER_049 Bering_Island 382/394 170/172 99/117 140/156 185/199 240/240 160/160 382/394
BER_050 Bering_Island 394/394 172/182 91/107 158/166 191/193 228/240 160/160 394/394
