id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
BER_001 Bering_Island 382/382 162/174 99/103 138/160 187/201 230/238 160/160 382/382
BER_004 Bering_Island 380/382 160/168 103/115 160/162 NA 234/236 160/160 380/382
BER_005 Bering_Island 384/388 166/168 99/99 158/158 191/193 228/236 160/160 384/388
BER_008 Bering_Island 380/392 168/170 107/113 134/140 189/191 234/238 160/160 380/392
BER_011 Bering_Island 380/390 168/168 113/115 142/160 197/205 234/240 160/160 380/390
BER_013 Bering_Island 380/398 168/176 97/99 140/160 187/189 232/236 160/176 380/398
BER_014 Bering_Island 380/386 172/174 99/103 156/168 185/189 238/240 160/160 380/386
BER_015 Bering_Island 394/394 168/180 93/103 142/160 185/195 234/250 160/160 394/394
BER_018 Bering_Island NA NA NA NA NA NA NA NA
BER_019 Bering_Island 382/392 168/172 91/117 NA NA 230/234 NA 382/392
BER_021 Bering_Island 380/394 162/174 103/121 156/162 185/199 238/238 160/184 380/394
BER_023 Bering_Island 382/392 170/178 97/115 158/162 191/193 236/240 160/160 382/392
BER_024 Bering_Island 386/394 168/170 87/91 156/160 185/193 230/236 160/160 386/394
BER_028 Bering_Island 382/382 166/176 103/115 158/164 195/207 234/238 160/160 382/382
BER_030 Bering_Island 386/386 168/174 85/97 140/142 195/205 230/234 160/160 386/386
BER_031 Bering_Island 380/380 172/174 89/101 142/160 187/201 230/236 160/160 380/380
BER_034 Bering_Island 382/384 160/172 97/99 140/142 185/189 236/240 160/160 382/384
BER_037 Bering_Island NA NA NA 156/170 187/193 228/230 NA NA
BER_038 Bering_Island NA NA 99/113 160/164 189/193 NA 160/160 NA
BER_040 Bering_Island 380/380 170/182 99/117 156/158 195/197 228/228 160/160 380/380
BER_042 Bering_Island 380/380 160/172 91/103 160/162 185/191 232/236 156/160 380/380
BER_043 Bering_Island 382/382 164/174 99/103 140/162 185/197 230/236 160/160 382/382
BER_045 Bering_Island 382/394 162/170 95/99 142/154 193/193 234/240 160/160 382/394
BER_048 Bering_Island 380/380 166/174 115/117 158/158 189/195 232/234 160/160 380/380
BER_050 Bering_Island 394/394 172/182 91/107 158/166 191/193 228/240 160/160 394/394
BER_053 Bering_Island 388/392 168/168 99/103 158/164 187/197 232/236 160/160 388/392
BER_054 Bering_Island 394/394 168/178 95/103 160/166 185/187 240/242 160/160 394/394
BER_055 Bering_Island 386/392 162/166 91/117 142/162 191/193 NA 160/160 386/392
BOG_002 Bogoslof_Island 380/382 174/174 99/99 140/158 183/185 238/242 160/160 380/382
BOG_003 Bogoslof_Island 380/396 172/176 99/115 156/160 197/199 230/234 160/160 380/396
BOG_009 Bogoslof_Island 382/382 160/168 99/107 158/158 187/187 236/238 160/160 382/382
BOG_011 Bogoslof_Island 392/394 166/170 97/115 160/166 187/193 236/236 160/160 392/394
BOG_014 Bogoslof_Island 378/392 166/174 95/103 158/162 197/203 238/240 160/160 378/392
BOG_017 Bogoslof_Island 380/382 160/174 91/107 140/158 181/205 236/242 160/160 380/382
BOG_021 Bogoslof_Island 388/394 168/172 87/99 156/156 187/199 238/238 160/160 388/394
BOG_022 Bogoslof_Island 382/392 160/172 107/115 158/164 197/205 236/240 160/160 382/392
BOG_023 Bogoslof_Island 380/394 168/178 101/103 164/166 195/197 230/234 160/160 380/394
BOG_026 Bogoslof_Island 392/394 178/180 87/115 156/160 195/197 228/232 156/160 392/394
BOG_027 Bogoslof_Island 380/394 166/172 95/117 160/166 187/193 230/238 160/188 380/394
BOG_029 Bogoslof_Island 380/382 168/184 85/91 134/166 195/197 230/234 160/160 380/382
BOG_030 Bogoslof_Island 382/382 172/174 91/91 160/160 187/189 234/234 160/180 382/382
BOG_033 Bogoslof_Island 380/380 162/182 91/99 158/158 187/189 242/250 160/160 380/380
BOG_037 Bogoslof_Island 394/396 168/176 91/115 160/160 193/197 230/234 160/160 394/396
