id pop L_Hg14 L_Hg23 L_Hg36 L_Hg42 L_Hg610 L_Hg89 L_Hg810 L_Hgdii L_Hgl15 L_Pvc19 L_Pvc26 L_Pvc30 L_Pvc78 L_SGPv9 L_SGPv10 L_SGPv11 L_SGPv16
258_M_N_y1980 Lake_Saimaa 124/124 100/104 163/163 152/152 202/202 186/186 200/200 137/167 108/118 109/109 171/181 139/139 161/161 133/145 156/157 123/123 124/124
297_M_N_y1981 Lake_Saimaa 124/124 100/104 134/163 152/152 200/202 186/186 200/200 137/155 112/118 109/109 181/181 139/139 161/161 133/145 156/157 123/123 124/124
427_F_N_y1982 Lake_Saimaa 124/124 100/104 161/161 152/152 200/200 186/186 200/200 137/169 118/118 109/111 171/181 149/149 161/161 133/133 156/157 123/123 124/124
431_F_N_y1982 Lake_Saimaa 124/124 104/104 161/161 152/152 200/202 186/186 200/200 137/169 118/118 109/111 171/181 139/149 161/161 133/145 156/157 123/123 124/124
510_M_N_y1983 Lake_Saimaa 114/124 100/104 134/161 152/152 200/202 186/188 200/200 167/169 118/118 109/111 171/181 139/139 161/161 133/145 156/157 123/123 114/124
575_M_N_y1983 Lake_Saimaa 114/124 104/104 134/161 152/152 200/202 188/188 200/200 165/169 118/118 109/109 171/181 139/149 161/161 145/145 156/156 123/123 114/124
796_F_N_y1984 Lake_Saimaa 114/124 104/104 134/161 152/152 200/202 186/186 200/200 169/169 118/118 109/111 171/181 149/149 161/161 133/145 156/156 123/123 114/124
819_F_N_y1985 Lake_Saimaa 114/124 100/104 161/161 152/152 200/200 186/186 200/200 137/137 118/118 109/109 181/181 149/149 161/161 133/145 157/157 123/123 114/124
1129_F_N_y1986 Lake_Saimaa 114/124 100/104 134/161 152/152 200/200 186/186 200/200 153/167 118/118 109/111 171/181 139/139 161/161 133/133 156/157 123/123 114/124
1486_M_N_y1994 Lake_Saimaa 124/124 100/104 134/161 152/152 200/200 186/188 200/200 137/165 118/118 109/109 171/181 149/149 161/161 133/145 156/157 123/123 124/124
1689_M_N_y1996 Lake_Saimaa 124/124 100/100 134/161 152/152 200/200 186/186 200/200 137/167 118/118 109/109 179/181 139/149 161/161 145/145 156/157 123/123 124/124
2311_F_N_y2002 Lake_Saimaa 124/124 100/100 161/161 152/152 200/202 186/186 200/200 137/167 108/108 109/109 181/181 139/149 161/171 133/145 157/157 123/123 124/124
2320_M_N_y2002 Lake_Saimaa 124/124 100/104 161/161 152/152 200/202 186/186 200/228 137/167 108/118 109/109 181/181 139/139 161/161 133/133 157/169 123/123 124/124
2352_F_N_y2003 Lake_Saimaa 114/124 104/104 161/161 152/152 202/202 186/186 200/200 137/137 118/118 109/109 171/171 149/149 161/161 133/145 157/169 123/123 114/124
2434_F_N_y2007 Lake_Saimaa 124/124 100/100 161/161 152/152 202/202 186/186 200/200 137/137 118/118 109/109 NA 139/139 161/161 133/145 157/169 123/123 124/124
291_M_H_y1981 Lake_Saimaa 124/124 100/100 161/161 152/152 202/202 186/186 200/200 137/157 108/118 109/111 171/179 149/149 161/171 133/145 156/169 123/123 124/124
298_M_H_y1981 Lake_Saimaa 124/124 100/100 134/161 152/152 202/202 186/186 200/200 137/155 108/118 109/109 171/179 149/149 161/171 133/145 156/157 123/123 124/124
418_M_H_y1982 Lake_Saimaa 124/124 98/104 161/161 152/152 200/200 186/186 200/200 155/167 112/118 109/109 181/181 149/149 161/161 145/145 156/156 123/123 124/124
428_M_H_y1982 Lake_Saimaa 124/124 100/104 161/161 152/152 200/202 186/188 200/200 153/155 112/118 109/111 171/181 149/149 161/161 145/145 156/169 119/123 124/124
430_F_H_y1982 Lake_Saimaa 124/124 100/104 134/161 152/152 202/202 186/186 200/200 137/159 118/118 109/111 171/181 149/149 161/171 145/145 156/156 123/123 124/124
533_F_H_y1983 Lake_Saimaa 114/124 100/100 161/161 152/152 194/200 186/186 200/200 129/153 118/118 109/111 177/181 139/149 161/161 145/145 157/157 123/123 114/124
546_F_H_y1983 Lake_Saimaa 124/124 100/104 134/134 152/152 200/202 186/186 200/200 137/137 112/118 109/109 171/171 149/149 161/171 133/145 157/157 123/123 124/124
753_F_H_y1984 Lake_Saimaa 124/124 100/104 134/161 152/152 194/202 186/186 200/200 137/155 108/118 109/109 171/181 149/149 161/171 145/145 156/169 123/123 124/124
763_F_H_y1984 Lake_Saimaa 124/124 100/100 134/134 152/152 202/202 186/188 200/200 129/155 108/112 109/109 179/181 149/149 161/161 133/145 156/157 119/119 124/124
773_F_H_y1984 Lake_Saimaa 124/124 104/104 161/161 152/152 200/202 186/188 200/200 129/155 112/118 109/109 171/181 139/149 161/161 133/145 156/157 123/123 124/124
804_M_H_y1984 Lake_Saimaa 124/124 100/104 161/161 152/152 200/202 186/186 200/200 137/155 118/118 109/109 181/181 149/149 161/161 133/145 156/157 123/123 124/124
806_F_H_y1985 Lake_Saimaa 124/124 100/100 161/161 152/152 202/202 186/188 200/200 129/137 112/118 109/109 171/181 149/149 161/171 133/145 156/156 119/123 124/124
811_F_H_y1985 Lake_Saimaa 124/124 104/104 134/161 152/152 200/202 186/188 200/220 137/159 118/118 109/109 171/181 139/149 161/161 133/145 157/157 123/123 124/124
814_M_H_y1985 Lake_Saimaa 124/124 100/104 134/161 152/152 202/202 186/188 200/200 129/137 112/118 109/109 171/181 149/149 161/161 133/145 156/157 119/123 124/124
