combinations medianR2 lower upper
"full model" 0.39694412400822987 0.13287160477201437 0.6785678672638897
SSD 0.009361790188941121 -0.37802686404384683 0.4243357824634254
BreedingType 0.23679557058200493 -0.1712112174237919 0.5555651386221933
Generation_time 0.02618226758828124 -0.42337462365880685 0.44086245363446996
breeding_season_length 0.0285892588070647 -0.3597688401117555 0.42379993578088704
"SSD & BreedingType" 0.28451543320499645 -0.13345694678871284 0.5819533323169418
"SSD & Generation_time" 0.045084444025777104 -0.3689564230195937 0.4567361060236971
"SSD & breeding_season_length" 0.044867294802133584 -0.3635850585465587 0.43323232725737104
"BreedingType & Generation_time" 0.2840701945710354 -0.12967214494837073 0.5720111130646371
"BreedingType & breeding_season_length" 0.2690007983716247 -0.14955301173697763 0.5694969369408898
"Generation_time & breeding_season_length" 0.0628532323953962 -0.3390153499808173 0.45714153372450583
"SSD & BreedingType & Generation_time" 0.3405327626955901 0.0072725087744552825 0.6062533439301157
"SSD & BreedingType & breeding_season_length" 0.3257297029866284 -0.0649555951424751 0.6151703753915136
"SSD & Generation_time & breeding_season_length" 0.07842941063315756 -0.3436527333936941 0.45082103068677953
"BreedingType & Generation_time & breeding_season_length" 0.32185940180211337 -0.05813816084230738 0.607628283632375
"SSD & BreedingType & Generation_time & breeding_season_length" 0.37545601830137226 0.06677054650911443 0.6470658965674323
