combinations medianR2 lower upper
"full model" 0.3818181267544161 0.08193335075923097 0.6235818119815484
SSD 0.010177559269342329 -0.37820442101066887 0.41009925403142716
BreedingType 0.25258465647031786 -0.14023724790283526 0.5503020336010706
Generation_time 0.027100056841647513 -0.41711117343838033 0.4430288172993479
breeding_season_length 0.029473687548341176 -0.36536137567895516 0.4212728402622274
"SSD & BreedingType" 0.3010135095150247 -0.08911702210874765 0.5735624380460574
"SSD & Generation_time" 0.050429946587429164 -0.36120477896615244 0.4705547650555678
"SSD & breeding_season_length" 0.045065439881306124 -0.3614970450827236 0.4371141023488201
"BreedingType & Generation_time" 0.3037095280629558 -0.09700128396449563 0.586764130661543
"BreedingType & breeding_season_length" 0.28750860934536493 -0.09153718205279014 0.573137623051778
"Generation_time & breeding_season_length" 0.06387692125402061 -0.34107367302464603 0.46188569362011767
"SSD & BreedingType & Generation_time" 0.3611554431074276 0.03947547242688577 0.6149192984728797
"SSD & BreedingType & breeding_season_length" 0.34893455444382615 -0.037839443681310946 0.6074922704104497
"SSD & Generation_time & breeding_season_length" 0.08114222095446089 -0.3461383562399046 0.44529558055233937
"BreedingType & Generation_time & breeding_season_length" 0.3438647608715484 -0.03728653085787113 0.6100333844875682
"SSD & BreedingType & Generation_time & breeding_season_length" 0.3818181267544161 0.09554135974818871 0.6489152266218747
