combinations medianR2 lower upper
"full model" 0.7858538536437243 0.5577509798400371 0.9402960424247054
SSD 0.01814598999228134 -0.3029488193313969 0.3327435020359071
BreedingType 0.09249488358212765 -0.23726413855822143 0.40733605639435255
logAbundance 0.10013299758327565 -0.2210391152541399 0.39259318873935367
bot 0.14990105254878094 -0.18938692392788808 0.4466970917178374
TPM80_ratio 0.006533140078565092 -0.2940233141326168 0.3593895836114202
"SSD & BreedingType" 0.09507241136056843 -0.2477101945652593 0.4063931867420162
"SSD & logAbundance" 0.13048715082457918 -0.21720780018855418 0.4294195424333705
"SSD & bot" 0.15576789575465522 -0.1564581491940175 0.47829017207724805
"SSD & TPM80_ratio" 0.013790783853073973 -0.2984014127493732 0.35228500531563783
"BreedingType & logAbundance" 0.18816869853002405 -0.1424475600460619 0.4994276216074456
"BreedingType & bot" 0.2958671150515231 -0.10027273725064675 0.6080464383171347
"BreedingType & TPM80_ratio" 0.07130041417990118 -0.24291005775103225 0.4201310453265874
"logAbundance & bot" 0.43236074922631484 0.060732743302729084 0.7364695451106227
"logAbundance & TPM80_ratio" 0.18167598539041052 -0.15736210338187104 0.5059094114557818
"bot & TPM80_ratio" 0.1470383677143925 -0.1916325603404307 0.48231197935765213
"SSD & BreedingType & logAbundance" 0.19811734012286175 -0.14624977509362205 0.5197831511954802
"SSD & BreedingType & bot" 0.2974578392718312 -0.10377346834116385 0.6497561582453933
"SSD & BreedingType & TPM80_ratio" 0.08371750567724923 -0.24042962466510026 0.4654147919087926
"SSD & logAbundance & bot" 0.5233074110459335 0.12065960698556882 0.8360295499623821
"SSD & logAbundance & TPM80_ratio" 0.25876148526085285 -0.10411348774590955 0.5772323484956464
"SSD & bot & TPM80_ratio" 0.15189804069317414 -0.175867675135544 0.48474951965328744
"BreedingType & logAbundance & bot" 0.7067154696397192 0.3521817435383453 0.8899977447545712
"BreedingType & logAbundance & TPM80_ratio" 0.23910398827903356 -0.10549323767807701 0.5825085472615794
"BreedingType & bot & TPM80_ratio" 0.31795887490354197 -0.03832314953709741 0.62008316919542
"logAbundance & bot & TPM80_ratio" 0.4494192344487301 0.08918357497375795 0.7509934351300234
"SSD & BreedingType & logAbundance & bot" 0.7619786285816095 0.4542904990059464 0.905071093087784
"SSD & BreedingType & logAbundance & TPM80_ratio" 0.2858219502732685 -0.047862883784037046 0.5990486765894173
"SSD & BreedingType & bot & TPM80_ratio" 0.3464560207981746 -0.04205288408783473 0.6811392616289865
"SSD & logAbundance & bot & TPM80_ratio" 0.5527251374568681 0.15583755657010664 0.8333780427490266
"BreedingType & logAbundance & bot & TPM80_ratio" 0.7625917547613297 0.3979014764905214 0.905149559089189
"SSD & BreedingType & logAbundance & bot & TPM80_ratio" 0.7858538536437243 0.5177065670737249 0.9258799128638044
