combinations medianR2 lower upper
"full model" 0.7628882551875265 0.5280036830991552 0.9348580008974757
SSD 0.004849910156999204 -0.3082464772832832 0.34623430476371864
BreedingType 0.10667341618646786 -0.24606913923547458 0.45044361103156055
logAbundance 0.10571339128340829 -0.22119159452409337 0.4569668819488721
bot 0.12463566221978384 -0.20451688723917613 0.4683125226574942
TPM80_ratio -0.0025061529189644993 -0.3312734753779675 0.3706112569265043
"SSD & BreedingType" 0.09927598903686463 -0.2455846250503574 0.46229116811029236
"SSD & logAbundance" 0.12646428272146282 -0.2068043588650047 0.45257279688723095
"SSD & bot" 0.11552891399815757 -0.2104121815573294 0.4565387282480993
"SSD & TPM80_ratio" 0.020796673610798955 -0.2983611623318858 0.39236260372700393
"BreedingType & logAbundance" 0.2103557500448432 -0.144117550522241 0.5552268589081604
"BreedingType & bot" 0.2873035850350118 -0.13422234694043758 0.6312444365147765
"BreedingType & TPM80_ratio" 0.08543131158254935 -0.27925583977131924 0.4519127927563578
"logAbundance & bot" 0.4018790705738545 0.022452184816618887 0.7166950743914953
"logAbundance & TPM80_ratio" 0.19068290766249163 -0.17580655737751996 0.5227481510134491
"bot & TPM80_ratio" 0.11464471484230676 -0.23182580958399934 0.442501908215767
"SSD & BreedingType & logAbundance" 0.2171687168166918 -0.12844699090271444 0.5739186999235961
"SSD & BreedingType & bot" 0.28811969980223495 -0.13733287118122145 0.638729411672467
"SSD & BreedingType & TPM80_ratio" 0.10291765234082595 -0.26682604731751974 0.512571013639957
"SSD & logAbundance & bot" 0.49006619203943447 0.0658102486428005 0.8052927151621372
"SSD & logAbundance & TPM80_ratio" 0.260803644274067 -0.11223614696762181 0.6118372920413747
"SSD & bot & TPM80_ratio" 0.1134568207219 -0.2288069347772888 0.4897117789416268
"BreedingType & logAbundance & bot" 0.6730939549803068 0.26762476892670445 0.869749814643832
"BreedingType & logAbundance & TPM80_ratio" 0.26276237078554643 -0.09980909050166484 0.5963112927122423
"BreedingType & bot & TPM80_ratio" 0.3002695187162171 -0.06179688742540797 0.6229177936329883
"logAbundance & bot & TPM80_ratio" 0.4096672742074764 0.0467813360714689 0.7229836219686252
"SSD & BreedingType & logAbundance & bot" 0.7326424351449817 0.41462351320735463 0.9031556115575132
"SSD & BreedingType & logAbundance & TPM80_ratio" 0.31623036300170104 -0.06813420690574266 0.6433171390822708
"SSD & BreedingType & bot & TPM80_ratio" 0.31502689230500647 -0.07952930535218009 0.6344201508192338
"SSD & logAbundance & bot & TPM80_ratio" 0.5110308043986181 0.07020288203931149 0.8360026482115325
"BreedingType & logAbundance & bot & TPM80_ratio" 0.7282174874678584 0.34471983031481473 0.904208283825308
"SSD & BreedingType & logAbundance & bot & TPM80_ratio" 0.7601169763997045 0.48843103866032633 0.9231469173951448
