combinations medianR2 lower upper
"full model" 0.7524840898526175 0.5239540191120522 0.913833489608785
SSD 0.00404874757164575 -0.29933367003897654 0.33334134035308277
BreedingType 0.1041343605465358 -0.2125016427504441 0.4368571761533114
logAbundance 0.1028667952087362 -0.21600712745117345 0.43613483441746165
bot 0.12307180889328118 -0.20056052981316538 0.4584496762292195
TPM80_ratio 0.0034461279745996443 -0.3146428389408105 0.35632784785441124
"SSD & BreedingType" 0.10385416327639874 -0.23323649187696105 0.4520572790837782
"SSD & logAbundance" 0.12241217731733944 -0.19431597369298612 0.4462369825484089
"SSD & bot" 0.11231102418238192 -0.20124630331490873 0.43260652362720564
"SSD & TPM80_ratio" 0.02110819720754642 -0.2867267064799332 0.37949989277844287
"BreedingType & logAbundance" 0.20575369478936278 -0.12333046656183165 0.5420065203398288
"BreedingType & bot" 0.2839756028372391 -0.09864367930158763 0.6251969777474657
"BreedingType & TPM80_ratio" 0.09283628507696806 -0.24127578622602708 0.44433407482317683
"logAbundance & bot" 0.398818096024264 0.024383081564538403 0.717730176191381
"logAbundance & TPM80_ratio" 0.18705751138738458 -0.15589969019757155 0.5158507826049339
"bot & TPM80_ratio" 0.11534166721232197 -0.21815236216330894 0.4408284395105041
"SSD & BreedingType & logAbundance" 0.21168570263934305 -0.12159858072601983 0.5702863799440081
"SSD & BreedingType & bot" 0.28842029599271435 -0.09510602181878985 0.6232809840629263
"SSD & BreedingType & TPM80_ratio" 0.10989628632952542 -0.23797575559763037 0.5000182975731127
"SSD & logAbundance & bot" 0.48720169593809215 0.0718811373307909 0.7852465888981567
"SSD & logAbundance & TPM80_ratio" 0.25911003470554184 -0.10373016506807768 0.6023834760878916
"SSD & bot & TPM80_ratio" 0.11315659664765598 -0.21138571084362393 0.4786253405648885
"BreedingType & logAbundance & bot" 0.6715819956352799 0.2849057736051376 0.8565846615057653
"BreedingType & logAbundance & TPM80_ratio" 0.26141558571117596 -0.07804744875551314 0.5868213477206559
"BreedingType & bot & TPM80_ratio" 0.29691971644671955 -0.049493873146962235 0.6096962416230663
"logAbundance & bot & TPM80_ratio" 0.40387819769491895 0.05393235451042822 0.7106046623669483
"SSD & BreedingType & logAbundance & bot" 0.7327137843792347 0.4240704010489201 0.8871704205073523
"SSD & BreedingType & logAbundance & TPM80_ratio" 0.31411316626565977 -0.0647274860692895 0.6393790306420498
"SSD & BreedingType & bot & TPM80_ratio" 0.3134707489286678 -0.056252629671444815 0.6269798424676738
"SSD & logAbundance & bot & TPM80_ratio" 0.5121956623649453 0.07651113946978745 0.829103347385909
"BreedingType & logAbundance & bot & TPM80_ratio" 0.727871639522563 0.372115046080459 0.8894039368250123
"SSD & BreedingType & logAbundance & bot & TPM80_ratio" 0.7524840898526175 0.49421204875742086 0.9073657738429896
