combinations medianR2 lower upper
"full model" 0.6155966232768335 0.2667411578216363 0.9873902875621965
SSD 0.009960599788606528 -0.5211008969688995 0.5940542952891248
BreedingType 0.17452984501961954 -0.4383500417370119 0.6734409517341086
Generation_time 0.022836456127492077 -0.5460202619481045 0.5824819500906971
breeding_season_length 0.056378453699457376 -0.5035263811611106 0.6136044077192079
"SSD & BreedingType" 0.30161354264339335 -0.41342635817471907 0.7768110936012853
"SSD & Generation_time" 0.06852715788524977 -0.5016160129309957 0.6453475960373646
"SSD & breeding_season_length" 0.13886364446135036 -0.420616930659968 0.6629883180302736
"BreedingType & Generation_time" 0.24942298183622957 -0.3429087427794452 0.7011622142189146
"BreedingType & breeding_season_length" 0.21555155092523148 -0.3778137423922664 0.6997566513690987
"Generation_time & breeding_season_length" 0.06378710198267024 -0.49527588315320836 0.5888033077072541
"SSD & BreedingType & Generation_time" 0.4794748583690292 -0.17444027676566834 0.8518681712776777
"SSD & BreedingType & breeding_season_length" 0.45572606179921626 -0.11637749980429996 0.8628793449068132
"SSD & Generation_time & breeding_season_length" 0.1625550341096934 -0.416430040482594 0.6986336089757161
"BreedingType & Generation_time & breeding_season_length" 0.25850822969102855 -0.36955853362966923 0.7545488079695608
"SSD & BreedingType & Generation_time & breeding_season_length" 0.5621846127092223 0.026432806833225596 0.8993237084240826
