combinations medianR2 lower upper
"full model" 0.5765881062307672 0.2249992187220649 0.9189081122372197
SSD 0.020695570186203827 -0.4823471970972446 0.5729452993704662
BreedingType 0.1794546571971405 -0.390574364135702 0.6713632924181239
Generation_time 0.02359409428378756 -0.49997641598135945 0.5493975017502704
breeding_season_length 0.047319242487165014 -0.4753216256431347 0.5850341993857253
"SSD & BreedingType" 0.33700945496908924 -0.2778921611719386 0.7638350485813858
"SSD & Generation_time" 0.078596269593035 -0.4610233618756077 0.6088379846588101
"SSD & breeding_season_length" 0.1424894952633577 -0.3983392608250929 0.6399113474617055
"BreedingType & Generation_time" 0.2540805720769731 -0.2694525248316483 0.7122437452733708
"BreedingType & breeding_season_length" 0.2217492594082161 -0.34017781931247987 0.6923142486083149
"Generation_time & breeding_season_length" 0.05661024369300971 -0.49512610689933095 0.5765205936071323
"SSD & BreedingType & Generation_time" 0.5286866097915423 0.045587815894420146 0.8508884901985481
"SSD & BreedingType & breeding_season_length" 0.48426836484432995 -0.07860859756002658 0.8443711936493853
"SSD & Generation_time & breeding_season_length" 0.16204091701546697 -0.38733838857378616 0.6909827762111258
"BreedingType & Generation_time & breeding_season_length" 0.26050718011493407 -0.33650360954670716 0.7461219128390912
"SSD & BreedingType & Generation_time & breeding_season_length" 0.5765881062307672 0.18305292100252438 0.8878557620133914
