"species" "bot_p" "neut_p" "boticeage" "neuticeage"
"antarctic_fur_seal" 0.89 0.61 0.66 0.64
"guadalupe_fur_seal" 0.82 0.8 0.87 0.56
"subantarctic_fur_seal" 0.88 0.75 0.68 0.62
"galapagos_fur_seal" 0.98 0.93 0.95 0.59
"stellers_sea_lion" 0.97 0.94 0.95 0.7
"grey_seal_orkneys" 0.93 0.81 1 0.93
"harbour_seal_waddensee" 0.6 1 0.55 0.45
"galapagos_sea_lion" 0.98 0.92 0.89 0.93
"south_american_fur_seal" 0.81 0.7 0.89 0.92
"hooded_seal" 0.73 0.75 0.65 0.79
"mediterranean_monk_seal" 0.35 0.38 0.31 0.06
"hawaiian_monk_seal" 0.2 0.65 0.22 0.11
"bearded_seal" 0.75 0.78 0.79 1
"crabeater_seal" 0.38 0.48 0.44 0.46
"leopard_seal" 0.79 0.82 0.66 0.72
"arctic_ringed_seal" 0.08 0.23 0.07 0.17
"ross_seal" 0.31 0.48 0.37 0.56
"weddell_seal" 0.83 0.83 0.77 0.88
"northern_fur_seal" 0.47 0.62 0.38 0.48
"atlantic_walrus" 0.95 0.85 0.96 0.69
"nes" 0.37 0.77 0.25 0.11
"ses" 0.8 0.64 0.9 0.97
"california_sea_lion" 0.82 0.93 1 0.9
"south_american_sea_lion" 0.98 0.95 0.94 0.93
"new_zealand_sea_lion" 0.96 0.95 0.98 0.85
"saimaa_ringed_seal" 0.28 0.12 0.27 0.02
"lagoda_ringed_seal" 0.87 0.86 0.99 0.87
"baltic_ringed_seal" 0.9 0.68 0.8 0.91
"new_zealand_fur_seal" 0.91 0.75 0.64 0.78
"australian_fur_seal" 0.91 1 0.84 0.88
