"species" "bot_p" "neut_p"
"antarctic_fur_seal" 0.78 0.97
"guadalupe_fur_seal" 0.91 0.99
"subantarctic_fur_seal" 0.94 0.99
"galapagos_fur_seal" 0.92 0.98
"stellers_sea_lion" 0.86 0.98
"grey_seal_orkneys" 0.93 0.91
"harbour_seal_waddensee" 0.58 0.96
"galapagos_sea_lion" 0.79 0.91
"south_american_fur_seal" 0.71 0.75
"hooded_seal" 0.87 0.98
"mediterranean_monk_seal" 0.21 0.13
"hawaiian_monk_seal" 0.21 0.09
"bearded_seal" 0.85 0.71
"crabeater_seal" 0.36 0.69
"leopard_seal" 0.89 0.91
"arctic_ringed_seal" 0.17 0.31
"ross_seal" 0.48 0.57
"weddell_seal" 0.92 0.95
"northern_fur_seal" 0.62 0.77
"atlantic_walrus" 0.99 0.88
"nes" 0.15 0.26
"ses" 0.64 0.83
"california_sea_lion" 0.93 0.97
"south_american_sea_lion" 0.9 0.98
"new_zealand_sea_lion" 0.87 0.99
"saimaa_ringed_seal" 0.14 0.03
"lagoda_ringed_seal" 0.95 0.86
"baltic_ringed_seal" 0.72 0.79
"new_zealand_fur_seal" 0.75 0.82
"australian_fur_seal" 0.98 0.99
