.id,IAM_Heq,IAM_Def.Exc,IAM_Sign,IAM_Stand_Diff,IAM_Wilc_Def,IAM_Wilc_Exc,IAM_Wilc_2Tail,TPM70_Heq,TPM70_Def.Exc,TPM70_Sign,TPM70_Stand_Diff,TPM70_Wilc_Def,TPM70_Wilc_Exc,TPM70_Wilc_2Tail,SMM_Heq,SMM_Def.Exc,SMM_Sign,SMM_Stand_Diff,SMM_Wilc_Def,SMM_Wilc_Exc,SMM_Wilc_2Tail,Mode_Shift,TPM80_Heq,TPM80_Def.Exc,TPM80_Sign,TPM80_Stand_Diff,TPM80_Wilc_Def,TPM80_Wilc_Exc,TPM80_Wilc_2Tail,TPM90_Heq,TPM90_Def.Exc,TPM90_Sign,TPM90_Stand_Diff,TPM90_Wilc_Def,TPM90_Wilc_Exc,TPM90_Wilc_2Tail
antarctic_fur_seal,  12.46,0  vs 21, 0.00002,  0.00000, 1.00000, 0.00000, 0.00000,  12.40,1  vs 20, 0.00024,  0.00000, 1.00000, 0.00000, 0.00000,  12.30,9  vs 12, 0.53030,  0.31121, 0.56756, 0.44587, 0.89173,normal L-shaped distribution,  12.40,2  vs 19, 0.00182,  0.00003, 1.00000, 0.00000, 0.00000,  12.33,2  vs 19, 0.00166,  0.00101, 0.99998, 0.00002, 0.00004
arctic_ringed_seal,   6.09,2  vs 8, 0.18244,  0.01635, 0.94727, 0.06543, 0.13086,   5.87,6  vs 4, 0.18817,  0.00004, 0.18750, 0.83887, 0.37500,   6.24,10  vs 0, 0.00005,  0.00000, 0.00049, 1.00000, 0.00098,normal L-shaped distribution,   5.84,7  vs 3, 0.06743,  0.00000, 0.06543, 0.94727, 0.13086,   5.81,8  vs 2, 0.01694,  0.00000, 0.00488, 0.99658, 0.00977
atlantic_walrus_cl_2,   5.57,1  vs 9, 0.02504,  0.00870, 0.99512, 0.00684, 0.01367,   5.81,3  vs 7, 0.33499,  0.31154, 0.91992, 0.09668, 0.19336,   5.89,8  vs 2, 0.01492,  0.00000, 0.00342, 0.99756, 0.00684,normal L-shaped distribution,   5.84,3  vs 7, 0.34307,  0.44097, 0.75391, 0.27832, 0.55664,   5.90,7  vs 3, 0.06281,  0.11757, 0.34766, 0.68750, 0.69531
atlantic_walrus,   5.56,1  vs 9, 0.02462,  0.00333, 0.99756, 0.00342, 0.00684,   5.80,3  vs 7, 0.33388,  0.19847, 0.91992, 0.09668, 0.19336,   5.90,9  vs 1, 0.00208,  0.00002, 0.00342, 0.99756, 0.00684,normal L-shaped distribution,   5.85,4  vs 6, 0.59503,  0.40155, 0.83887, 0.18750, 0.37500,   5.88,5  vs 5, 0.39833,  0.20980, 0.50000, 0.53906, 1.00000
australian_fur_seal,   2.89,1  vs 4, 0.29945,  0.23689, 0.92188, 0.10938, 0.21875,   2.96,3  vs 2, 0.33177,  0.18449, 0.31250, 0.89063, 0.62500,   2.94,5  vs 0, 0.01193,  0.00000, 0.01563, 1.00000, 0.03125,normal L-shaped distribution,   2.97,4  vs 1, 0.09240,  0.07654, 0.07813, 0.95313, 0.15625,   2.95,4  vs 1, 0.09468,  0.01043, 0.04688, 0.96875, 0.09375
baltic_ringed_seal,  10.22,3  vs 14, 0.04741,  0.02380, 0.99605, 0.00467, 0.00934,  10.14,10  vs 7, 0.09670,  0.37662, 0.32207, 0.69439, 0.64413,  10.09,13  vs 4, 0.00297,  0.00005, 0.00395, 0.99667, 0.00790,normal L-shaped distribution,  10.12,10  vs 7, 0.09894,  0.20682, 0.22929, 0.78466, 0.45857,  10.08,11  vs 6, 0.03977,  0.04612, 0.07272, 0.93382, 0.14543
bearded_seal_cl_1,   7.31,2  vs 11, 0.03163,  0.00838, 0.99939, 0.00085, 0.00171,   7.48,5  vs 8, 0.50090,  0.36479, 0.68225, 0.34241, 0.68481,   7.56,9  vs 4, 0.04305,  0.00006, 0.03406, 0.97131, 0.06812,normal L-shaped distribution,   7.50,5  vs 8, 0.50549,  0.40208, 0.50000, 0.52698, 1.00000,   7.55,7  vs 6, 0.27472,  0.11146, 0.20715, 0.81213, 0.41431
bearded_seal,   7.54,2  vs 11, 0.04279,  0.01367, 0.99799, 0.00262, 0.00525,   7.64,9  vs 4, 0.03918,  0.27546, 0.31775, 0.70605, 0.63550,   7.66,10  vs 3, 0.00975,  0.00000, 0.00116, 0.99915, 0.00232,normal L-shaped distribution,   7.65,9  vs 4, 0.03874,  0.08356, 0.22742, 0.79285, 0.45483,   7.67,9  vs 4, 0.03807,  0.00423, 0.01990, 0.98364, 0.03979
california_sea_lion,   7.66,1  vs 12, 0.01032,  0.00028, 0.99994, 0.00012, 0.00024,   7.69,4  vs 9, 0.32959,  0.25847, 0.91614, 0.09546, 0.19092,   7.65,10  vs 3, 0.00990,  0.00000, 0.00427, 0.99664, 0.00854,normal L-shaped distribution,   7.66,5  vs 8, 0.54303,  0.42440, 0.70605, 0.31775, 0.63550,   7.65,6  vs 7, 0.46093,  0.05877, 0.34241, 0.68225, 0.68481
crabeater_seal,   4.26,0  vs 7, 0.03092,  0.00081, 1.00000, 0.00391, 0.00781,   4.13,2  vs 5, 0.39960,  0.05162, 0.98047, 0.02734, 0.05469,   4.08,6  vs 1, 0.02374,  0.00077, 0.01953, 0.98828, 0.03906,normal L-shaped distribution,   4.12,2  vs 5, 0.39417,  0.12678, 0.85156, 0.18750, 0.37500,   4.09,3  vs 4, 0.61526,  0.41964, 0.59375, 0.46875, 0.93750
