.id,IAM_Heq,IAM_Def.Exc,IAM_Sign,IAM_Stand_Diff,IAM_Wilc_Def,IAM_Wilc_Exc,IAM_Wilc_2Tail,TPM70_Heq,TPM70_Def.Exc,TPM70_Sign,TPM70_Stand_Diff,TPM70_Wilc_Def,TPM70_Wilc_Exc,TPM70_Wilc_2Tail,SMM_Heq,SMM_Def.Exc,SMM_Sign,SMM_Stand_Diff,SMM_Wilc_Def,SMM_Wilc_Exc,SMM_Wilc_2Tail,Mode_Shift,TPM80_Heq,TPM80_Def.Exc,TPM80_Sign,TPM80_Stand_Diff,TPM80_Wilc_Def,TPM80_Wilc_Exc,TPM80_Wilc_2Tail,TPM90_Heq,TPM90_Def.Exc,TPM90_Sign,TPM90_Stand_Diff,TPM90_Wilc_Def,TPM90_Wilc_Exc,TPM90_Wilc_2Tail
antarctic_fur_seal_HW,  12.45,0  vs 21, 0.00002,  0.00000, 1.00000, 0.00000, 0.00000,  12.42,1  vs 20, 0.00025,  0.00000, 1.00000, 0.00000, 0.00000,  12.33,8  vs 13, 0.47559,  0.31521, 0.58090, 0.43244, 0.86489,normal L-shaped distribution,  12.39,2  vs 19, 0.00180,  0.00002, 1.00000, 0.00000, 0.00000,  12.35,2  vs 19, 0.00172,  0.00102, 0.99998, 0.00002, 0.00004
arctic_ringed_seal_HW,   6.11,2  vs 8, 0.18545,  0.01660, 0.94727, 0.06543, 0.13086,   5.88,6  vs 4, 0.18712,  0.00041, 0.21582, 0.81250, 0.43164,   6.19,10  vs 0, 0.00006,  0.00000, 0.00049, 1.00000, 0.00098,normal L-shaped distribution,   5.86,7  vs 3, 0.06552,  0.00001, 0.08008, 0.93457, 0.16016,   5.82,8  vs 2, 0.01650,  0.00000, 0.00488, 0.99658, 0.00977
atlantic_walrus_HW,   3.29,1  vs 5, 0.15967,  0.03217, 0.98438, 0.02344, 0.04688,   3.46,2  vs 4, 0.49567,  0.40741, 0.78125, 0.28125, 0.56250,   3.53,5  vs 1, 0.04649,  0.00003, 0.02344, 0.98438, 0.04688,normal L-shaped distribution,   3.50,2  vs 4, 0.50933,  0.38507, 0.71875, 0.34375, 0.68750,   3.51,3  vs 3, 0.48676,  0.11967, 0.42188, 0.65625, 0.84375
atlantic_walrus_cl_2_HW,   4.98,1  vs 8, 0.03910,  0.01394, 0.99316, 0.00977, 0.01953,   5.21,3  vs 6, 0.42986,  0.34479, 0.87500, 0.15039, 0.30078,   5.30,7  vs 2, 0.02952,  0.00001, 0.00684, 0.99512, 0.01367,normal L-shaped distribution,   5.25,3  vs 6, 0.44172,  0.43033, 0.71484, 0.32617, 0.65234,   5.27,6  vs 3, 0.11563,  0.11760, 0.36719, 0.67383, 0.73438
australian_fur_seal_HW,   2.88,1  vs 4, 0.29735,  0.23073, 0.92188, 0.10938, 0.21875,   2.95,3  vs 2, 0.33355,  0.19403, 0.31250, 0.89063, 0.62500,   2.94,5  vs 0, 0.01174,  0.00000, 0.01563, 1.00000, 0.03125,normal L-shaped distribution,   2.96,4  vs 1, 0.09276,  0.07984, 0.07813, 0.95313, 0.15625,   2.94,4  vs 1, 0.09661,  0.00962, 0.04688, 0.96875, 0.09375
baltic_ringed_seal_HW,   9.60,3  vs 13, 0.06502,  0.03982, 0.99225, 0.00912, 0.01825,   9.53,10  vs 6, 0.06272,  0.28706, 0.23187, 0.78340, 0.46375,   9.49,13  vs 3, 0.00114,  0.00003, 0.00314, 0.99742, 0.00629,normal L-shaped distribution,   9.54,10  vs 6, 0.06229,  0.14571, 0.13722, 0.87389, 0.27444,   9.49,11  vs 5, 0.02186,  0.02841, 0.04672, 0.95837, 0.09344
bearded_seal_HW,   5.83,1  vs 9, 0.03661,  0.00759, 0.99951, 0.00098, 0.00195,   5.87,6  vs 4, 0.18824,  0.48087, 0.61523, 0.42285, 0.84570,   5.92,7  vs 3, 0.06098,  0.00001, 0.00928, 0.99316, 0.01855,normal L-shaped distribution,   5.89,6  vs 4, 0.18549,  0.35139, 0.50000, 0.53906, 1.00000,   5.88,6  vs 4, 0.18715,  0.04799, 0.16113, 0.86230, 0.32227
bearded_seal_cl_1_HW,   7.31,2  vs 11, 0.03178,  0.00837, 0.99939, 0.00085, 0.00171,   7.46,5  vs 8, 0.49769,  0.36978, 0.68225, 0.34241, 0.68481,   7.55,9  vs 4, 0.04365,  0.00010, 0.03406, 0.97131, 0.06812,normal L-shaped distribution,   7.50,5  vs 8, 0.50535,  0.41226, 0.50000, 0.52698, 1.00000,   7.51,7  vs 6, 0.28129,  0.11331, 0.22742, 0.79285, 0.45483
california_sea_lion_HW,   7.04,1  vs 11, 0.01558,  0.00042, 0.99988, 0.00024, 0.00049,   7.08,4  vs 8, 0.40968,  0.27629, 0.91187, 0.10181, 0.20361,   7.08,9  vs 3, 0.01840,  0.00000, 0.01709, 0.99329, 0.03418,normal L-shaped distribution,   7.09,4  vs 8, 0.41340,  0.43421, 0.71533, 0.31104, 0.62207,   7.09,5  vs 7, 0.58767,  0.06574, 0.39551, 0.63330, 0.79102
crabeater_seal_HW,   4.25,0  vs 7, 0.03019,  0.00081, 1.00000, 0.00391, 0.00781,   4.14,2  vs 5, 0.40221,  0.05219, 0.98047, 0.02734, 0.05469,   4.11,6  vs 1, 0.02239,  0.00162, 0.01953, 0.98828, 0.03906,normal L-shaped distribution,   4.10,2  vs 5, 0.38928,  0.12935, 0.85156, 0.18750, 0.37500,   4.11,3  vs 4, 0.60869,  0.41488, 0.59375, 0.46875, 0.93750
