1:    0.958 0.042 1    
2:    0.275 0.725 1    
3:    0.059 0.941 1    
4:    0.945 0.055 1    
5:    0.876 0.124 1    
6:    0.063 0.937 1    
7:    0.237 0.763 1    
8:    0.956 0.044 1    
9:    0.039 0.961 1    
10:   0.922 0.078 1    
11:   0.915 0.085 1    
12:   0.588 0.412 1    
13:   0.895 0.105 1    
14:   0.331 0.669 1    
15:   0.332 0.668 1    
16:   0.929 0.071 1    
17:   0.763 0.237 1    
18:   0.796 0.204 1    
19:   0.267 0.733 1    
20:   0.549 0.451 1    
21:   0.845 0.155 1    
22:   0.418 0.582 1    
23:   0.084 0.916 1    
24:   0.047 0.953 1    
25:   0.936 0.064 1    
26:   0.076 0.924 1    
27:   0.955 0.045 1    
28:   0.502 0.498 1    
29:   0.116 0.884 1    
30:   0.396 0.604 1    
31:   0.744 0.256 1    
32:   0.433 0.567 1    
33:   0.446 0.554 1    
34:   0.615 0.385 1    
35:   0.637 0.363 1    
36:   0.051 0.949 1    
37:   0.817 0.183 1    
38:   0.069 0.931 1    
39:   0.666 0.334 1    
40:   0.921 0.079 1    
41:   0.179 0.821 1    
42:   0.694 0.306 1    
43:   0.033 0.967 1    
44:   0.073 0.927 1    
45:   0.920 0.080 1    
46:   0.112 0.888 1    
47:   0.902 0.098 1    
48:   0.087 0.913 1    
49:   0.404 0.596 1    
50:   0.819 0.181 1    
51:   0.631 0.369 1    
52:   0.903 0.097 1    
53:   0.212 0.788 1    
54:   0.668 0.332 1    
55:   0.850 0.150 1    
56:   0.150 0.850 1    
57:   0.039 0.961 1    
58:   0.034 0.966 1    
59:   0.053 0.947 1    
60:   0.111 0.889 1    
61:   0.962 0.038 1    
62:   0.030 0.970 1    
63:   0.919 0.081 1    
64:   0.336 0.664 1    
65:   0.375 0.625 1    
66:   0.855 0.145 1    
67:   0.147 0.853 1    
68:   0.043 0.957 1    
69:   0.981 0.019 1    
70:   0.022 0.978 1    
71:   0.081 0.919 1    
72:   0.135 0.865 1    
73:   0.941 0.059 1    
74:   0.841 0.159 1    
75:   0.949 0.051 1    
76:   0.101 0.899 1    
77:   0.093 0.907 1    
78:   0.893 0.107 1    
79:   0.948 0.052 1    
80:   0.035 0.965 1    
81:   0.635 0.365 1    
82:   0.839 0.161 1    
83:   0.108 0.892 1    
84:   0.333 0.667 1    
85:   0.793 0.207 1    
86:   0.220 0.780 1    
87:   0.122 0.878 1    
88:   0.146 0.854 1    
89:   0.931 0.069 1    
90:   0.073 0.927 1    
91:   0.952 0.048 1    
92:   0.146 0.854 1    
93:   0.337 0.663 1    
94:   0.789 0.211 1    
95:   0.171 0.829 1    
96:   0.788 0.212 1    
97:   0.060 0.940 1    
98:   0.675 0.325 1    
99:   0.486 0.514 1    
100:  0.957 0.043 1    
101:  0.061 0.939 1    
102:  0.450 0.550 1    
103:  0.087 0.913 1    
104:  0.953 0.047 1    
105:  0.967 0.033 1    
106:  0.269 0.731 1    
107:  0.859 0.141 1    
108:  0.972 0.028 1    
109:  0.904 0.096 1    
110:  0.328 0.672 1    
111:  0.952 0.048 1    
112:  0.842 0.158 1    
113:  0.183 0.817 1    
114:  0.753 0.247 1    
115:  0.948 0.052 1    
116:  0.914 0.086 1    
117:  0.050 0.950 1    
118:  0.908 0.092 1    
119:  0.886 0.114 1    
120:  0.209 0.791 1    
121:  0.042 0.958 1    
122:  0.178 0.822 1    
123:  0.044 0.956 1    
124:  0.048 0.952 1    
125:  0.370 0.630 1    
126:  0.109 0.891 1    
127:  0.223 0.777 1    
128:  0.937 0.063 1    
129:  0.175 0.825 1    
130:  0.195 0.805 1    
131:  0.192 0.808 1    
132:  0.375 0.625 1    
133:  0.938 0.062 1    
134:  0.105 0.895 1    
135:  0.104 0.896 1    
136:  0.739 0.261 1    
137:  0.367 0.633 1    
138:  0.862 0.138 1    
139:  0.908 0.092 1    
140:  0.042 0.958 1    
141:  0.366 0.634 1    
142:  0.925 0.075 1    
143:  0.151 0.849 1    
144:  0.141 0.859 1    
145:  0.106 0.894 1    
146:  0.121 0.879 1    
147:  0.204 0.796 1    
148:  0.050 0.950 1    
149:  0.850 0.150 1    
150:  0.498 0.502 1    
151:  0.948 0.052 1    
152:  0.032 0.968 1    
153:  0.963 0.037 1    
154:  0.299 0.701 1    
155:  0.062 0.938 1    
156:  0.365 0.635 1    
157:  0.190 0.810 1    
158:  0.321 0.679 1    
159:  0.755 0.245 1    
160:  0.925 0.075 1    
161:  0.930 0.070 1    
162:  0.065 0.935 1    
163:  0.238 0.762 1    
164:  0.929 0.071 1    
165:  0.408 0.592 1    
166:  0.795 0.205 1    
167:  0.515 0.485 1    
168:  0.536 0.464 1    
169:  0.951 0.049 1    
170:  0.604 0.396 1    
171:  0.101 0.899 1    
172:  0.954 0.046 1    
173:  0.949 0.051 1    
174:  0.501 0.499 1    
175:  0.229 0.771 1    
176:  0.744 0.256 1    
177:  0.304 0.696 1    
178:  0.900 0.100 1    
179:  0.801 0.199 1    
180:  0.815 0.185 1    
181:  0.442 0.558 1    
182:  0.909 0.091 1    
183:  0.952 0.048 1    
184:  0.544 0.456 1    
185:  0.779 0.221 1    
186:  0.784 0.216 1    
187:  0.037 0.963 1    
188:  0.964 0.036 1    
189:  0.359 0.641 1    
190:  0.291 0.709 1    
191:  0.913 0.087 1    
192:  0.525 0.475 1    
193:  0.602 0.398 1    
194:  0.095 0.905 1    
195:  0.884 0.116 1    
196:  0.766 0.234 1    
197:  0.128 0.872 1    
198:  0.929 0.071 1    
199:  0.140 0.860 1    
200:  0.883 0.117 1    
201:  0.935 0.065 1    
202:  0.092 0.908 1    
203:  0.057 0.943 1    
204:  0.262 0.738 1    
205:  0.049 0.951 1    
206:  0.061 0.939 1    
207:  0.873 0.127 1    
208:  0.926 0.074 1    
209:  0.882 0.118 1    
210:  0.205 0.795 1    
211:  0.930 0.070 1    
212:  0.945 0.055 1    
213:  0.210 0.790 1    
214:  0.036 0.964 1    
215:  0.907 0.093 1    
216:  0.921 0.079 1    
217:  0.151 0.849 1    
218:  0.108 0.892 1    
219:  0.971 0.029 1    
220:  0.228 0.772 1    
221:  0.058 0.942 1    
222:  0.328 0.672 1    
223:  0.061 0.939 1    
224:  0.538 0.462 1    
225:  0.840 0.160 1    
226:  0.723 0.277 1    
227:  0.037 0.963 1    
228:  0.116 0.884 1    
229:  0.900 0.100 1    
230:  0.601 0.399 1    
231:  0.951 0.049 1    
232:  0.727 0.273 1    
233:  0.942 0.058 1    
234:  0.934 0.066 1    
235:  0.753 0.247 1    
236:  0.065 0.935 1    
237:  0.903 0.097 1    
238:  0.076 0.924 1    
239:  0.687 0.313 1    
240:  0.186 0.814 1    
241:  0.453 0.547 1    
242:  0.852 0.148 1    
243:  0.328 0.672 1    
244:  0.041 0.959 1    
245:  0.970 0.030 1    
246:  0.689 0.311 1    
247:  0.744 0.256 1    
248:  0.788 0.212 1    
249:  0.898 0.102 1    
250:  0.691 0.309 1    
