1:    0.642 0.358 1    
2:    0.833 0.167 1    
3:    0.635 0.365 1    
4:    0.799 0.201 1    
5:    0.595 0.405 1    
6:    0.644 0.356 1    
7:    0.832 0.168 1    
8:    0.766 0.234 1    
9:    0.688 0.312 1    
10:   0.481 0.519 1    
11:   0.743 0.257 1    
12:   0.877 0.123 1    
13:   0.789 0.211 1    
14:   0.760 0.240 1    
15:   0.492 0.508 1    
16:   0.790 0.210 1    
17:   0.490 0.510 1    
18:   0.583 0.417 1    
19:   0.570 0.430 1    
20:   0.386 0.614 1    
21:   0.412 0.588 1    
22:   0.818 0.182 1    
23:   0.634 0.366 1    
24:   0.449 0.551 1    
25:   0.462 0.538 1    
26:   0.838 0.162 1    
27:   0.712 0.288 1    
28:   0.256 0.744 1    
29:   0.543 0.457 1    
30:   0.908 0.092 1    
31:   0.722 0.278 1    
32:   0.847 0.153 1    
33:   0.750 0.250 1    
34:   0.527 0.473 1    
35:   0.753 0.247 1    
36:   0.821 0.179 1    
37:   0.462 0.538 1    
38:   0.617 0.383 1    
39:   0.444 0.556 1    
40:   0.640 0.360 1    
41:   0.653 0.347 1    
42:   0.589 0.411 1    
43:   0.614 0.386 1    
44:   0.601 0.399 1    
45:   0.862 0.138 1    
46:   0.717 0.283 1    
47:   0.525 0.475 1    
48:   0.572 0.428 1    
49:   0.482 0.518 1    
50:   0.731 0.269 1    
51:   0.815 0.185 1    
52:   0.858 0.142 1    
53:   0.773 0.227 1    
54:   0.363 0.637 1    
55:   0.556 0.444 1    
56:   0.620 0.380 1    
57:   0.748 0.252 1    
58:   0.666 0.334 1    
59:   0.847 0.153 1    
60:   0.658 0.342 1    
61:   0.452 0.548 1    
62:   0.787 0.213 1    
63:   0.624 0.376 1    
64:   0.820 0.180 1    
65:   0.730 0.270 1    
66:   0.739 0.261 1    
67:   0.402 0.598 1    
68:   0.453 0.547 1    
69:   0.363 0.637 1    
70:   0.645 0.355 1    
71:   0.491 0.509 1    
72:   0.752 0.248 1    
73:   0.576 0.424 1    
74:   0.744 0.256 1    
75:   0.710 0.290 1    
76:   0.726 0.274 1    
77:   0.147 0.853 1    
78:   0.257 0.743 1    
79:   0.138 0.862 1    
80:   0.416 0.584 1    
81:   0.237 0.763 1    
82:   0.187 0.813 1    
83:   0.202 0.798 1    
84:   0.313 0.687 1    
85:   0.219 0.781 1    
86:   0.392 0.608 1    
87:   0.281 0.719 1    
88:   0.114 0.886 1    
89:   0.250 0.750 1    
90:   0.400 0.600 1    
91:   0.176 0.824 1    
92:   0.142 0.858 1    
93:   0.209 0.791 1    
94:   0.163 0.837 1    
95:   0.256 0.744 1    
96:   0.221 0.779 1    
97:   0.218 0.782 1    
98:   0.379 0.621 1    
99:   0.267 0.733 1    
100:  0.282 0.718 1    
101:  0.312 0.688 1    
102:  0.191 0.809 1    
103:  0.718 0.282 1    
104:  0.835 0.165 1    
105:  0.676 0.324 1    
106:  0.629 0.371 1    
107:  0.768 0.232 1    
108:  0.536 0.464 1    
109:  0.545 0.455 1    
110:  0.716 0.284 1    
111:  0.802 0.198 1    
112:  0.777 0.223 1    
113:  0.707 0.293 1    
114:  0.747 0.253 1    
115:  0.599 0.401 1    
116:  0.844 0.156 1    
117:  0.808 0.192 1    
118:  0.742 0.258 1    
119:  0.834 0.166 1    
120:  0.813 0.187 1    
121:  0.581 0.419 1    
122:  0.626 0.374 1    
123:  0.616 0.384 1    
124:  0.628 0.372 1    
125:  0.823 0.177 1    
126:  0.611 0.389 1    
127:  0.704 0.296 1    
128:  0.617 0.383 1    
129:  0.669 0.331 1    
130:  0.673 0.327 1    
131:  0.724 0.276 1    
132:  0.894 0.106 1    
133:  0.758 0.242 1    
134:  0.711 0.289 1    
135:  0.477 0.523 1    
136:  0.580 0.420 1    
137:  0.699 0.301 1    
138:  0.755 0.245 1    
139:  0.739 0.261 1    
140:  0.506 0.494 1    
141:  0.791 0.209 1    
142:  0.793 0.207 1    
143:  0.752 0.248 1    
144:  0.778 0.222 1    
145:  0.406 0.594 1    
146:  0.620 0.380 1    
147:  0.598 0.402 1    
148:  0.647 0.353 1    
149:  0.533 0.467 1    
150:  0.497 0.503 1    
151:  0.744 0.256 1    
152:  0.151 0.849 1    
153:  0.464 0.536 1    
154:  0.372 0.628 1    
155:  0.688 0.312 1    
156:  0.460 0.540 1    
157:  0.742 0.258 1    
158:  0.801 0.199 1    
159:  0.399 0.601 1    
160:  0.653 0.347 1    
161:  0.504 0.496 1    
162:  0.754 0.246 1    
163:  0.863 0.137 1    
164:  0.812 0.188 1    
165:  0.613 0.387 1    
166:  0.702 0.298 1    
167:  0.718 0.282 1    
168:  0.646 0.354 1    
169:  0.857 0.143 1    
170:  0.690 0.310 1    
171:  0.572 0.428 1    
172:  0.763 0.237 1    
173:  0.656 0.344 1    
174:  0.474 0.526 1    
175:  0.688 0.312 1    
176:  0.652 0.348 1    
177:  0.846 0.154 1    
178:  0.671 0.329 1    
179:  0.478 0.522 1    
180:  0.825 0.175 1    
181:  0.598 0.402 1    
182:  0.615 0.385 1    
183:  0.470 0.530 1    
184:  0.666 0.334 1    
185:  0.726 0.274 1    
186:  0.881 0.119 1    
187:  0.578 0.422 1    
188:  0.656 0.344 1    
189:  0.698 0.302 1    
190:  0.638 0.362 1    
191:  0.415 0.585 1    
192:  0.520 0.480 1    
193:  0.736 0.264 1    
194:  0.699 0.301 1    
195:  0.625 0.375 1    
196:  0.553 0.447 1    
197:  0.772 0.228 1    
198:  0.699 0.301 1    
199:  0.723 0.277 1    
200:  0.730 0.270 1    
201:  0.501 0.499 1    
202:  0.757 0.243 1    
203:  0.674 0.326 1    
204:  0.727 0.273 1    
205:  0.563 0.437 1    
206:  0.596 0.404 1    
207:  0.806 0.194 1    
208:  0.812 0.188 1    
209:  0.615 0.385 1    
210:  0.791 0.209 1    
211:  0.822 0.178 1    
212:  0.655 0.345 1    
213:  0.650 0.350 1    
214:  0.598 0.402 1    
215:  0.697 0.303 1    
216:  0.674 0.326 1    
217:  0.581 0.419 1    
218:  0.490 0.510 1    
219:  0.884 0.116 1    
220:  0.485 0.515 1    
221:  0.555 0.445 1    
222:  0.324 0.676 1    
223:  0.598 0.402 1    
224:  0.760 0.240 1    
225:  0.306 0.694 1    
226:  0.587 0.413 1    
227:  0.831 0.169 1    
228:  0.812 0.188 1    
229:  0.646 0.354 1    
230:  0.666 0.334 1    
231:  0.771 0.229 1    
232:  0.867 0.133 1    
233:  0.650 0.350 1    
234:  0.645 0.355 1    
235:  0.718 0.282 1    
236:  0.682 0.318 1    
237:  0.529 0.471 1    
238:  0.585 0.415 1    
239:  0.671 0.329 1    
240:  0.371 0.629 1    
241:  0.781 0.219 1    
242:  0.593 0.407 1    
243:  0.707 0.293 1    
244:  0.835 0.165 1    
245:  0.567 0.433 1    
246:  0.726 0.274 1    
247:  0.511 0.489 1    
248:  0.676 0.324 1    
249:  0.750 0.250 1    
250:  0.638 0.362 1    
251:  0.746 0.254 1    
252:  0.520 0.480 1    
253:  0.711 0.289 1    
254:  0.794 0.206 1    
255:  0.722 0.278 1    
256:  0.779 0.221 1    
257:  0.636 0.364 1    
258:  0.864 0.136 1    
259:  0.816 0.184 1    
260:  0.668 0.332 1    
261:  0.758 0.242 1    
262:  0.793 0.207 1    
263:  0.497 0.503 1    
264:  0.566 0.434 1    
265:  0.607 0.393 1    
266:  0.653 0.347 1    
267:  0.517 0.483 1    
268:  0.376 0.624 1    
269:  0.487 0.513 1    
270:  0.746 0.254 1    
271:  0.452 0.548 1    
272:  0.507 0.493 1    
273:  0.599 0.401 1    
274:  0.579 0.421 1    
275:  0.668 0.332 1    
276:  0.512 0.488 1    
277:  0.707 0.293 1    
278:  0.336 0.664 1    
279:  0.490 0.510 1    
280:  0.796 0.204 1    
281:  0.818 0.182 1    
282:  0.451 0.549 1    
283:  0.376 0.624 1    
284:  0.585 0.415 1    
285:  0.516 0.484 1    
286:  0.738 0.262 1    
287:  0.659 0.341 1    
288:  0.607 0.393 1    
289:  0.782 0.218 1    
290:  0.696 0.304 1    
291:  0.653 0.347 1    
292:  0.545 0.455 1    
293:  0.696 0.304 1    
294:  0.377 0.623 1    
295:  0.624 0.376 1    
296:  0.499 0.501 1    
297:  0.466 0.534 1    
298:  0.778 0.222 1    
299:  0.495 0.505 1    
300:  0.599 0.401 1    
301:  0.715 0.285 1    
302:  0.806 0.194 1    
303:  0.582 0.418 1    
304:  0.799 0.201 1    
305:  0.691 0.309 1    
306:  0.756 0.244 1    
307:  0.483 0.517 1    
308:  0.689 0.311 1    
309:  0.500 0.500 1    
310:  0.355 0.645 1    
311:  0.635 0.365 1    
312:  0.475 0.525 1    
313:  0.849 0.151 1    
314:  0.371 0.629 1    
315:  0.702 0.298 1    
316:  0.457 0.543 1    
317:  0.615 0.385 1    
318:  0.638 0.362 1    
319:  0.378 0.622 1    
320:  0.324 0.676 1    
321:  0.791 0.209 1    
322:  0.649 0.351 1    
323:  0.695 0.305 1    
324:  0.779 0.221 1    
325:  0.555 0.445 1    
326:  0.825 0.175 1    
327:  0.820 0.180 1    
328:  0.590 0.410 1    
329:  0.561 0.439 1    
330:  0.778 0.222 1    
331:  0.708 0.292 1    
332:  0.791 0.209 1    
333:  0.733 0.267 1    
334:  0.685 0.315 1    
335:  0.608 0.392 1    
336:  0.439 0.561 1    
337:  0.358 0.642 1    
338:  0.265 0.735 1    
339:  0.361 0.639 1    
340:  0.255 0.745 1    
341:  0.757 0.243 1    
342:  0.400 0.600 1    
343:  0.370 0.630 1    
344:  0.366 0.634 1    
345:  0.299 0.701 1    
346:  0.284 0.716 1    
347:  0.447 0.553 1    
348:  0.315 0.685 1    
349:  0.299 0.701 1    
350:  0.316 0.684 1    
351:  0.205 0.795 1    
352:  0.780 0.220 1    
353:  0.285 0.715 1    
354:  0.345 0.655 1    
355:  0.328 0.672 1    
356:  0.648 0.352 1    
357:  0.470 0.530 1    
358:  0.635 0.365 1    
359:  0.590 0.410 1    
360:  0.368 0.632 1    
361:  0.367 0.633 1    
362:  0.765 0.235 1    
363:  0.810 0.190 1    
364:  0.804 0.196 1    
365:  0.709 0.291 1    
366:  0.833 0.167 1    
367:  0.595 0.405 1    
368:  0.683 0.317 1    
369:  0.828 0.172 1    
370:  0.475 0.525 1    
371:  0.496 0.504 1    
372:  0.566 0.434 1    
373:  0.644 0.356 1    
374:  0.396 0.604 1    
375:  0.593 0.407 1    
376:  0.650 0.350 1    
377:  0.700 0.300 1    
378:  0.657 0.343 1    
379:  0.689 0.311 1    
380:  0.724 0.276 1    
381:  0.664 0.336 1    
382:  0.600 0.400 1    
383:  0.595 0.405 1    
384:  0.640 0.360 1    
385:  0.892 0.108 1    
386:  0.733 0.267 1    
387:  0.787 0.213 1    
388:  0.627 0.373 1    
389:  0.713 0.287 1    
390:  0.740 0.260 1    
391:  0.775 0.225 1    
392:  0.741 0.259 1    
393:  0.688 0.312 1    
394:  0.793 0.207 1    
