loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
10	303	1	5	-15389.56	0.665582451691206	-15390.3	-15388.6	NA	NA	NA	NA	NA	NA	NA
10	303	2	5	-15420.9	16.2783598682421	-15434.9	-15393.5	-31.3400000000001	-15.7272225834492	-46.9527774165511	128.139999999999	196.684175230278	59.5958247697213	7.87180041706727
10	303	3	5	-15580.38	100.435312515071	-15734.5	-15455	-159.48	-75.3230473531705	-243.636952646829	153.560000000001	527.329554807912	-220.209554807909	1.52894431405247
10	303	4	5	-15893.42	558.361819969811	-16882.6	-15573.1	-313.040000000001	144.886507454739	-770.96650745474	301.540000000001	304.740380520444	298.339619479558	0.540044088287241
10	303	5	5	-15904.92	97.2349319946283	-16062	-15819.7	-11.5	449.626887975182	-472.626887975182	37.1200000000008	355.24819825961	-281.008198259608	0.381755807697294
10	303	6	5	-15953.54	240.233621710201	-16184.7	-15586	-48.6200000000008	94.3786897155722	-191.618689715574	2448.1	7131.25655521287	-2235.05655521287	10.1904969944348
10	303	7	5	-18450.26	5066.38886663864	-27499.4	-15906.6	-2496.72	2329.43524492845	-7322.87524492844	4190.23999999999	4485.41789572288	3895.06210427711	0.827066399816258
10	303	8	5	-16756.74	535.411517433085	-17432.1	-16327	1693.52	6224.49734920556	-2837.45734920556	2067.18	6583.20043095215	-2448.84043095215	3.86091806524941
10	303	9	5	-17130.4	550.368435686496	-17617.9	-16430.8	-373.66	-358.703081746589	-388.616918253411	319.460000000003	898.80822616929	-259.888226169285	0.580447531663998
10	303	10	5	-17184.6	1144.67358010919	-18616.5	-15992.6	-54.1999999999971	540.105144422701	-648.505144422695	NA	NA	NA	NA
