loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
10	623	1	5	-15685.82	0.228035085019979	-15686.2	-15685.6	NA	NA	NA	NA	NA	NA	NA
10	623	2	5	-14953.32	1.35166563912845	-14955	-14951.4	732.5	733.623630554108	731.376369445892	852.32	863.764042871532	840.875957128467	630.570146437674
10	623	3	5	-15073.14	13.9193390647692	-15090.6	-15051.8	-119.82	-107.252326574359	-132.38767342564	148.480000000001	151.85612760904	145.103872390962	10.6671731544937
10	623	4	5	-15341.44	23.1108848813711	-15376.8	-15324.5	-268.300000000001	-259.108454183399	-277.491545816603	404.879999999999	536.716327674326	273.043672325673	17.5190176437753
10	623	5	5	-16014.62	164.138758372299	-16200	-15824.5	-673.18	-532.152126509072	-814.207873490929	167.359999999999	284.074764977164	50.6452350228336	1.01962511267688
10	623	6	5	-16855.16	421.881396840393	-17268.4	-16279.3	-840.539999999999	-582.797361531906	-1098.28263846809	546.519999999999	717.033534313704	376.006465686293	1.29543517228554
10	623	7	5	-17149.18	334.652292686005	-17485.8	-16605.9	-294.02	-206.790895845612	-381.249104154388	502.820000000003	620.874328038044	384.765671961962	1.50251473242344
10	623	8	5	-16940.38	539.935724878434	-17599.6	-16251.9	208.800000000003	414.083432192432	3.51656780757378	456.080000000005	504.793535257081	407.36646474293	0.844693134729493
10	623	9	5	-17187.66	285.938757428929	-17627.5	-16918.1	-247.280000000002	6.71696744950225	-501.276967449507	151.68	392.142538180023	-88.7825381800229	0.530463241023563
10	623	10	5	-17283.26	272.404328159448	-17614.4	-16870.4	-95.6000000000022	-82.0655707305206	-109.134429269484	NA	NA	NA	NA
