loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
13	119	1	5	-4616.78	0.311448230048118	-4617.1	-4616.4	NA	NA	NA	NA	NA	NA	NA
13	119	2	5	-4342.32	0.749666592559565	-4343.3	-4341.6	274.46	274.898218362511	274.021781637489	419.92	440.990192230526	398.849807769474	560.142340832182
13	119	3	5	-4487.78	22.2580771855972	-4515.8	-4463.8	-145.46	-123.951589406962	-166.968410593038	14.0199999999995	136.961226499978	-108.921226499979	0.629883699436158
13	119	4	5	-4619.22	166.707714278614	-4890.2	-4463.6	-131.440000000001	13.0096370930161	-275.889637093017	217.400000000001	265.547093079093	169.252906920908	1.30407882407089
13	119	5	5	-4533.26	70.4051702646899	-4641.4	-4448.8	85.96	182.262544013924	-10.3425440139239	158.7	210.833227080125	106.566772919875	2.25409581999963
13	119	6	5	-4606	26.2358533308906	-4644	-4580.2	-72.7399999999998	-28.5706830662005	-116.909316933799	73.1199999999999	187.446007396256	-41.2060073962564	2.7870257954944
13	119	7	5	-4751.86	184.731177660946	-5058.8	-4581.4	-145.86	12.6353243300559	-304.355324330055	135.339999999999	265.695196860363	4.98480313963549	0.732632150748267
13	119	8	5	-4762.38	156.591050191254	-5020.9	-4624	-10.5200000000004	17.6201274696914	-38.6601274696922	15.2000000000007	79.9876680136863	-49.5876680136849	0.0970681273382867
13	119	9	5	-4757.7	63.6632547078769	-4840.1	-4695.2	4.68000000000029	97.6077954833777	-88.2477954833771	7.84000000000015	100.573808929466	-84.8938089294661	0.123147960875932
13	119	10	5	-4760.86	63.4692681539658	-4870.5	-4704.9	-3.15999999999985	-2.9660134460887	-3.35398655391101	NA	NA	NA	NA
