loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
13	347	1	5	-14380.6	0.141421356237181	-14380.8	-14380.4	NA	NA	NA	NA	NA	NA	NA
13	347	2	5	-14492.36	47.7932317383959	-14554	-14433.3	-111.76	-64.1081896178414	-159.411810382159	22.4399999999987	69.7831918442902	-24.9031918442929	0.469522549193319
13	347	3	5	-14626.56	48.1018502762632	-14709.2	-14586	-134.199999999999	-133.891381462132	-134.508618537866	642.480000000001	898.518513775729	386.441486224273	13.3566587628137
13	347	4	5	-15403.24	304.448982589858	-15664.5	-15044.6	-776.68	-520.332867686405	-1033.0271323136	38.3000000000011	286.153257499743	-209.553257499741	0.125801044477778
13	347	5	5	-16218.22	312.942857403712	-16568	-15825.7	-814.980000000001	-806.486125186148	-823.473874813855	133.820000000002	884.534132633088	-616.894132633085	0.427618003843325
13	347	6	5	-16899.38	1072.15086485065	-18696.7	-15950.6	-681.16	78.0480074469401	-1440.36800744694	2879.68	4218.19195898245	1541.16804101755	2.68589066558383
13	347	7	5	-20460.22	3169.87083128004	-25514.1	-17466.5	-3560.84	-1463.12003357061	-5658.55996642939	4658.04	6459.59059569214	2856.48940430786	1.46947312617121
13	347	8	5	-19363.02	3466.04020201728	-25367	-17092.6	1097.2	1393.36937073725	801.030629262756	623.599999999999	2650.31231340073	-1403.11231340074	0.179917128380985
13	347	9	5	-17642.22	1143.1585178793	-19512.2	-16788.5	1720.8	4043.68168413798	-602.081684137981	2643.68	2830.62353677546	2456.73646322453	2.31261015742974
13	347	10	5	-18565.1	3279.09666524182	-24312.6	-16533.2	-922.879999999997	1213.05814736252	-3058.81814736251	NA	NA	NA	NA
