loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
7	303	1	5	-9754.1	0.360555127546575	-9754.6	-9753.7	NA	NA	NA	NA	NA	NA	NA
7	303	2	5	-9898.3	48.5233448970696	-9937.9	-9815.7	-144.200000000001	-96.0372102304777	-192.362789769524	44.4800000000014	90.8247302364435	-1.86473023644074	0.916672172834638
7	303	3	5	-9998.02	50.3414044301506	-10068.9	-9944.5	-99.7199999999993	-97.9019404669184	-101.53805953308	36.6399999999994	108.574129747322	-35.2941297473229	0.727830310154297
7	303	4	5	-10061.1	124.093593710554	-10252	-9908	-63.0799999999999	10.6721892804034	-136.832189280403	27.2800000000007	34.2404378227132	20.3195621772881	0.219834071883121
7	303	5	5	-10096.9	190.885345168245	-10409.3	-9888	-35.7999999999993	30.9917514576915	-102.59175145769	84.3599999999988	87.2908714026719	81.4291285973256	0.441940683951639
7	303	6	5	-10048.34	260.607968028608	-10443.7	-9809.4	48.5599999999995	118.282622860363	-21.1626228603644	53.8399999999983	114.052080879024	-6.37208087902778	0.206593836739819
7	303	7	5	-10053.62	130.673264289219	-10227.8	-9871.4	-5.27999999999884	124.654703739391	-135.214703739389	4.26000000000204	40.4109721474396	-31.8909721474355	0.032600394756906
7	303	8	5	-10063.16	224.456995881171	-10354	-9804.9	-9.54000000000087	84.2437315919515	-103.323731591953	366.639999999999	457.161120061599	276.1188799384	1.63345320808847
7	303	9	5	-10439.34	408.761847534723	-10877	-9832.4	-376.18	-191.875148346448	-560.484851653552	735.220000000001	759.938233626099	710.501766373903	1.79865123037821
7	303	10	5	-10080.3	249.175229507269	-10467.1	-9780.3	359.040000000001	518.626618027455	199.453381972547	NA	NA	NA	NA
