loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
9	1254	1	5	-34073.66	0.134164078651831	-34073.8	-34073.5	NA	NA	NA	NA	NA	NA	NA
9	1254	2	5	-35227.48	302.201260751837	-35701.7	-34906.2	-1153.81999999999	-851.752903326807	-1455.88709667318	500.240000000013	560.331485443139	440.148514556886	1.65532069176509
9	1254	3	5	-36881.54	544.176871981896	-37321.9	-36038.5	-1654.06	-1412.08438876995	-1896.03561123006	161.240000000005	522.866752094217	-200.386752094206	0.296300721882516
9	1254	4	5	-38374.36	1147.77923530617	-39730.3	-37110.2	-1492.82	-889.21763667573	-2096.42236332427	38.0400000000009	592.239391111464	-516.159391111462	0.0331422618826641
9	1254	5	5	-39829.14	1197.18220751897	-41094.6	-38278.2	-1454.78	-1405.37702778719	-1504.18297221281	157.099999999999	408.598788876122	-94.3987888761249	0.131224803553981
9	1254	6	5	-41126.82	1498.0839686079	-43032.5	-38931.6	-1297.68	-996.77823891107	-1598.58176108893	149.020000000004	2680.50062359585	-2382.46062359584	0.0994737298594025
9	1254	7	5	-42573.52	4330.46635329268	-46725.1	-36197.3	-1446.7	1385.68238468477	-4279.08238468478	56.8999999999942	2113.24239467492	-1999.44239467493	0.0131394624407439
9	1254	8	5	-44077.12	3554.42636328283	-48436.8	-40801.6	-1503.6	-727.560009990149	-2279.63999000985	3027	3072.81060360071	2981.18939639929	0.851614210177165
9	1254	9	5	-48607.72	2732.57576967227	-51348.6	-44657.5	-4530.6	-3708.74940638944	-5352.45059361056	7542.32	8180.45437430093	6904.18562569907	2.76015036205367
9	1254	10	5	-45596	2916.2919889819	-49246	-41332.7	3011.72	3195.43621930963	2828.00378069037	NA	NA	NA	NA
