loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
15	224	1	5	-11286	0.158113883008994	-11286.2	-11285.8	NA	NA	NA	NA	NA	NA	NA
15	224	2	5	-12026.1	358.553182945013	-12300.1	-11428.2	-740.1	-381.704930937997	-1098.495069062	670.039999999999	1430.0234214295	-89.943421429505	1.86873253919142
15	224	3	5	-13436.24	1476.93167343652	-15188.6	-12125.9	-1410.14	-291.761509508492	-2528.51849049151	2760.7	2878.95425036311	2642.44574963689	1.86921307847398
15	224	4	5	-12085.68	240.298932581899	-12426.6	-11819.4	1350.56	2587.19274085462	113.927259145378	1533.78	2673.23814114102	394.321858858976	6.38279988812374
15	224	5	5	-12268.9	337.473532295498	-12822.6	-12027.3	-183.219999999999	-86.0454002864008	-280.394599713598	299.580000000002	420.015857131288	179.144142868716	0.887714061491745
15	224	6	5	-12751.7	555.083989140382	-13662.4	-12332.4	-482.800000000001	-265.189543155116	-700.410456844886	45.8199999999979	1258.8238599011	-1167.1838599011	0.0825460667149776
15	224	7	5	-13280.32	1985.69830588637	-16616.3	-11311.1	-528.619999999999	901.994316745988	-1959.23431674599	114.139999999999	1449.90070040977	-1221.62070040977	0.0574810381122071
15	224	8	5	-13694.8	1890.84468955015	-17054.6	-12544.4	-414.48	-319.626383663778	-509.333616336221	348.060000000001	1990.96148714675	-1294.84148714675	0.184076461659476
15	224	9	5	-14457.34	3628.59979303312	-20936.4	-12589.5	-762.540000000001	975.215103482971	-2500.29510348297	2273.32	3169.73328517879	1376.90671482122	0.626500614469734
15	224	10	5	-12946.56	994.431404371362	-13873.9	-11307.3	1510.78	4144.94838866176	-1123.38838866176	NA	NA	NA	NA
