loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
18	2386	1	5	-60983.26	0.304959013641542	-60983.8	-60983.1	NA	NA	NA	NA	NA	NA	NA
18	2386	2	5	-61069.36	42.0145570011167	-61128.8	-61035	-86.0999999999985	-44.3904020125234	-127.809597987474	165.440000000002	197.069974836299	133.810025163705	3.9376828368226
18	2386	3	5	-61320.9	31.9349338499387	-61351.9	-61269.3	-251.540000000001	-241.460376848823	-261.619623151179	63.0400000000009	63.72046612805	62.3595338719517	1.97401379618395
18	2386	4	5	-61509.4	42.6950231291659	-61563.6	-61461	-188.5	-177.739910720773	-199.260089279227	21.2200000000012	36.569589465827	5.87041053417533	0.497013432591522
18	2386	5	5	-61676.68	68.8047018742189	-61707.8	-61553.6	-167.279999999999	-141.170321254946	-193.389678745052	622.639999999999	1801.78068098521	-556.500680985212	9.04938155445017
18	2386	6	5	-62466.6	1274.05506160448	-64728.3	-61693.7	-789.919999999998	415.330359730267	-1995.17035973026	166.459999999999	317.524582632701	15.3954173672976	0.130653693875968
18	2386	7	5	-63090.06	2328.24083870205	-67252.3	-61923.1	-623.459999999999	430.725777097564	-1677.64577709756	1087.64	1780.51706219294	394.762937807058	0.467150984520287
18	2386	8	5	-62625.88	581.177999411542	-63631.8	-62189.1	464.18	2211.2428392905	-1282.8828392905	3449.02	3696.7386867952	3201.30131320481	5.93453297181281
18	2386	9	5	-65610.72	2575.95952549724	-68044.5	-62751.8	-2984.84	-990.058473914302	-4979.62152608571	2673.76	4162.33036438861	1185.18963561139	1.03796661924798
18	2386	10	5	-65921.8	3082.17068719433	-70281.2	-63207.2	-311.080000000002	195.131161697088	-817.291161697092	NA	NA	NA	NA
