loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
13	300	1	5	-13753.24	0.357770876400353	-13753.6	-13752.8	NA	NA	NA	NA	NA	NA	NA
13	300	2	5	-13825.62	42.8542529978063	-13895.9	-13781.4	-72.380000000001	-29.8835178785951	-114.876482121407	170.519999999999	181.25676146593	159.783238534067	3.9790683087797
13	300	3	5	-14068.52	96.0874965851436	-14195	-13935.1	-242.9	-189.666756412662	-296.133243587337	239.880000000001	505.553030865111	-25.7930308651085	2.49647465617384
13	300	4	5	-14551.3	414.99377103759	-15194.2	-14109.2	-482.780000000001	-163.873725547554	-801.686274452447	149.899999999998	363.708844148333	-63.9088441483369	0.361210240879543
13	300	5	5	-15183.98	309.896340733478	-15398	-14655.8	-632.679999999998	-527.582569695886	-737.777430304111	280.960000000001	613.348906711902	-51.4289067118997	0.906625742449913
13	300	6	5	-16097.62	747.382677749491	-17258.3	-15404.8	-913.639999999999	-476.153662983987	-1351.12633701601	1285.34	1456.05945873345	1114.62054126654	1.7197883203159
13	300	7	5	-15725.92	1014.14955603205	-16733.6	-14064.3	371.699999999999	638.466878282556	104.933121717442	954.199999999999	965.219807813061	943.180192186936	0.940886868533861
13	300	8	5	-16308.42	1269.89662650154	-18099.6	-15135.2	-582.5	-326.752929530506	-838.247070469494	215.180000000002	586.20764845931	-155.847648459306	0.169446863240203
13	300	9	5	-16675.74	643.12190757274	-17310.3	-15807.9	-367.319999999998	259.454718928804	-994.0947189288	45.2199999999957	417.851095568804	-327.411095568813	0.0703132632670908
13	300	10	5	-16997.84	897.265530932734	-18359.4	-16372.2	-322.100000000002	-67.9563766400086	-576.243623359996	NA	NA	NA	NA
