loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
16	109	1	5	-1524.04	0.151657508881013	-1524.2	-1523.9	NA	NA	NA	NA	NA	NA	NA
16	109	2	5	-1592.36	19.651539379906	-1610.1	-1561.7	-68.3199999999999	-48.8201181289749	-87.819881871025	78.5000000000002	89.6233638797898	67.3766361202106	3.99459800489052
16	109	3	5	-1739.18	28.0280573711415	-1771	-1703.4	-146.82	-138.443482008765	-155.196517991236	119.1	122.947940086971	115.252059913029	4.2493134084501
16	109	4	5	-1766.9	40.252515449348	-1809.6	-1712.3	-27.72	-15.4955419217935	-39.9444580782065	170.1	249.27667055418	90.92332944582	4.22582286103452
16	109	5	5	-1964.72	131.653644081734	-2103.1	-1821.3	-197.82	-106.418871367614	-289.221128632386	207.84	287.403864899918	128.276135100082	1.57868778680343
16	109	6	5	-1954.7	119.816380349266	-2158.8	-1861.1	10.02	21.8572637324681	-1.81726373246818	5.74000000000001	80.3778059047099	-68.8978059047099	0.0479066383349909
16	109	7	5	-1938.94	33.3413107120882	-1982.4	-1901.3	15.76	102.235069637178	-70.7150696371781	71.2800000000002	167.688514147182	-25.1285141471814	2.13788835764507
16	109	8	5	-1851.9	216.224894496448	-2144.6	-1639.1	87.0400000000002	269.92358378436	-95.8435837843595	233.24	341.988994192549	124.491005807452	1.07869170450136
16	109	9	5	-1998.1	290.359484088259	-2291.2	-1532.4	-146.2	-72.0654104081889	-220.334589591811	313.42	335.428077510894	291.411922489106	1.0794205706218
16	109	10	5	-1830.88	194.216816985554	-2073.5	-1555.5	167.22	263.362667102705	71.0773328972946	NA	NA	NA	NA
