loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
35	260	1	5	-12058.48	0.0447213595501585	-12058.5	-12058.4	NA	NA	NA	NA	NA	NA	NA
35	260	2	5	-11984.98	12.9979613786163	-12006.1	-11972.6	73.5	86.4532400190662	60.5467599809338	118.360000000001	186.65508765393	50.0649123460714	9.10604336728691
35	260	3	5	-12029.84	94.2462890516117	-12162.9	-11905.2	-44.8600000000006	36.3883276729948	-126.108327672996	87.3199999999997	107.956871756096	66.683128243903	0.9265086283894
35	260	4	5	-11987.38	33.6348331347131	-12046	-11967	42.4599999999991	103.071455916898	-18.1514559168995	116.259999999998	330.482877965124	-97.9628779651273	3.45653565559127
35	260	5	5	-12061.18	308.469167016737	-12585.9	-11851.7	-73.7999999999993	201.034333882025	-348.634333882024	84.3999999999996	185.248351687776	-16.4483516877771	0.273609193477091
35	260	6	5	-12219.38	134.48318482249	-12374	-12066.1	-158.199999999999	15.7859821942486	-332.185982194246	160.840000000002	306.837840315687	14.8421596843167	1.1959859532796
35	260	7	5	-12538.42	162.471326701052	-12776.1	-12342.7	-319.040000000001	-291.051858121439	-347.028141878563	378.880000000001	415.863148925061	341.896851074941	2.33198071126201
35	260	8	5	-12478.58	97.5000358974295	-12528.1	-12304.4	59.8400000000001	124.811290803623	-5.13129080362246	390.799999999999	444.062370249609	337.53762975039	4.00820365246966
35	260	9	5	-12809.54	215.733696950662	-13127.8	-12545	-330.959999999999	-212.726338946767	-449.193661053231	306.879999999997	395.77756870091	217.982431299084	1.42249451215858
35	260	10	5	-12833.62	186.397604598343	-13122.7	-12604.6	-24.0800000000017	5.2560923523173	-53.4160923523208	NA	NA	NA	NA
