loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
12	54	1	5	-2445.7	0.908295106229172	-2447	-2444.8	NA	NA	NA	NA	NA	NA	NA
12	54	2	5	-2474.7	28.6551915017157	-2518.8	-2451.8	-29.0000000000005	-1.25310360451391	-56.746896395487	221.999999999999	306.357263479535	137.642736520463	7.74728725811192
12	54	3	5	-2725.7	140.759351376738	-2894.5	-2549.7	-251	-138.895840124977	-363.104159875022	161.519999999999	208.646854333261	114.393145666737	1.14749036863416
12	54	4	5	-2815.18	205.736656918499	-3119.8	-2605.3	-89.4800000000005	-24.5026944582399	-154.457305541761	158.139999999999	206.215046972714	110.064953027284	0.768652520987766
12	54	5	5	-3062.8	188.834398349453	-3235.2	-2811.3	-247.619999999999	-230.717741430954	-264.522258569045	184.139999999999	201.638393468274	166.641606531724	0.975140131297653
12	54	6	5	-3126.28	154.433746312132	-3343.9	-2987.1	-63.4800000000005	-29.0793479626796	-97.8806520373213	147.819999999999	180.751293316322	114.888706683677	0.95717421567456
12	54	7	5	-3337.58	221.765691665776	-3641.2	-3055.4	-211.3	-143.968054646356	-278.631945353643	250.34	259.95265870791	240.727341292089	1.12884909347154
12	54	8	5	-3298.54	164.046405020043	-3461.9	-3074	39.04	96.7592866457328	-18.6792866457329	327.84	534.304518618366	121.375481381635	1.99845891142781
12	54	9	5	-3587.34	428.230210284141	-4056.1	-3057.9	-288.8	-24.6161947359018	-552.983805264098	822.1	926.369277409744	717.830722590257	1.91976180161254
12	54	10	5	-3054.04	588.144738138496	-3762	-2450.1	533.3	693.214527854355	373.385472145646	NA	NA	NA	NA
