loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
8	492	1	5	-15978.58	0.258843582110889	-15978.9	-15978.3	NA	NA	NA	NA	NA	NA	NA
8	492	2	5	-15869.92	13.061278651036	-15887.2	-15858.2	108.66	121.462435068925	95.8575649310747	310.74	357.595300299757	263.884699700242	23.7909325956652
8	492	3	5	-16072	72.7190140197185	-16146.4	-15977.9	-202.08	-142.422264631317	-261.737735368682	184.52	221.052551610399	147.987448389602	2.53743814444412
8	492	4	5	-16089.56	49.5938302614343	-16143.9	-16032.7	-17.5599999999995	5.56518375828477	-40.6851837582838	540.940000000002	562.07666242023	519.803337579775	10.9074051580294
8	492	5	5	-16648.06	93.8556764399464	-16737.8	-16524.5	-558.500000000002	-514.23815382149	-602.761846178514	273.040000000003	501.931247031535	44.1487529684708	2.90914743099963
8	492	6	5	-16933.52	367.00876964999	-17221.6	-16513.1	-285.459999999999	-12.3069067899551	-558.613093210043	86.7200000000012	223.719234705563	-50.2792347055605	0.2362886316932
8	492	7	5	-17305.7	230.854911145508	-17635.2	-16989.6	-372.18	-236.026141495518	-508.333858504483	279.640000000003	377.817385693432	181.462614306574	1.21132359113532
8	492	8	5	-17398.24	268.831383956561	-17673	-17060.3	-92.5399999999972	-54.563527188944	-130.51647281105	279.400000000005	289.556552906409	269.243447093601	1.03931317797758
8	492	9	5	-17770.18	316.964409674019	-18125.6	-17505.7	-371.940000000002	-323.806974282545	-420.07302571746	514.499999999996	682.254440836801	346.745559163191	1.62321063279354
8	492	10	5	-18656.62	532.851876228281	-19160.3	-17871	-886.439999999999	-670.552533445736	-1102.32746655426	NA	NA	NA	NA
