loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
17	172	1	5	-3796.8	0.187082869338709	-3797.1	-3796.6	NA	NA	NA	NA	NA	NA	NA
17	172	2	5	-3528.46	0.626897120746393	-3529.3	-3527.6	268.34	268.779814251408	267.900185748592	197.66	197.837073175105	197.482926824895	315.298943732049
17	172	3	5	-3457.78	1.24378454725898	-3459.3	-3456	70.6799999999998	71.2968874265124	70.0631125734872	32.6799999999998	35.7378643938887	29.6221356061109	26.274647061679
17	172	4	5	-3419.78	4.91853636766048	-3425.2	-3411.8	38	41.6747518204015	34.3252481795985	61.7599999999998	64.4078697839458	59.1121302160537	12.5565809386047
17	172	5	5	-3443.54	5.94541840411592	-3450.7	-3434.2	-23.7599999999998	-22.7331179635443	-24.7868820364552	24.6200000000003	42.528153735348	6.71184626465268	4.14100376568221
17	172	6	5	-3491.92	24.880454175919	-3516.9	-3451.2	-48.3800000000001	-29.444964228197	-67.3150357718032	56.6999999999998	117.204234936884	-3.80423493688461	2.2788973062589
17	172	7	5	-3597	104.319724884607	-3778.6	-3518.2	-105.08	-25.6407292913124	-184.519270708687	57.1199999999999	79.3927323547917	34.8472676452081	0.547547456276205
17	172	8	5	-3644.96	47.1531865307108	-3716.3	-3598.4	-47.96	9.20653835389573	-105.126538353896	190.36	324.835023801372	55.8849761986271	4.03705484200985
17	172	9	5	-3883.28	238.794748685979	-4309.9	-3763.3	-238.32	-46.6784378447314	-429.961562155268	201.02	205.707743244901	196.332256755098	0.841810806586646
17	172	10	5	-3920.58	51.8409297756126	-3968.6	-3835.6	-37.3000000000002	149.653818910366	-224.253818910367	NA	NA	NA	NA
